,symbol1,symbol2,balance
11400,VOOG,FTEC,1.255158076303089
7605,EFV,GBTC,1.254957281517592
10655,AVUV,XLK,1.2549009567436766
3287,SPLG,IUSG,1.2544946050975416
11179,ESGU,VGT,1.2543488392015294
1257,VIG,VGT,1.2543484976068857
5626,VBR,SOXX,1.25433651329782
11307,VOOG,XLK,1.2536216902097645
3833,VV,XLK,1.2535495079970171
5771,GOVT,SLV,1.2526813413100946
3,SPY,QQQ,1.2526654566618394
9036,XLP,IWM,1.2526476557234407
704,VUG,XLK,1.2520594717501579
4526,QQQM,VUG,1.252055638730106
191,VOO,SPYG,1.2517859053958833
3579,VT,FTEC,1.2516382312583334
2858,IVW,IYW,1.2514947170539752
9134,XLP,IWN,1.2514249270823339
5139,SCHG,IYW,1.2514149774402306
11956,FTEC,SOXX,1.2510150014304358
7499,IUSV,GBTC,1.250788754726288
276,IVV,QQQ,1.2506978750076356
9880,DGRW,QQQM,1.2505133050249884
7144,XLY,IYW,1.2503465413881683
212,VOO,IUSG,1.2503003877082284
9121,XLP,VOT,1.2500593395973507
9861,DGRW,IVW,1.2494783685176152
1278,VIG,SCHG,1.2494685620739412
3479,VT,XLK,1.2493255438566102
6772,USHY,FTEC,1.248675182019537
8705,VHT,SOXX,1.248672844659327
9847,DGRW,IJR,1.248530253557291
8081,XLU,XLE,1.248460369313335
3932,VV,FTEC,1.2482624271836047
2709,IWD,GBTC,1.2482168340564916
185,VOO,QQQM,1.2480290843861712
3325,SPLG,AVUV,1.2475460947575143
9140,XLP,SPSM,1.2471443046183266
5522,SPYG,FTEC,1.2469775363852162
701,VUG,VGT,1.2469461255860643
11986,IWY,XLK,1.246645726068669
744,VUG,MGK,1.2465250202267872
28,SPY,IVW,1.2463605671440385
128,SPY,IWO,1.2463164194070109
2915,SCHX,VGT,1.2461742657373467
120,SPY,VOOG,1.2460576582412872
301,IVV,IVW,1.2449498505945182
11214,ESGU,SCHG,1.2448625770268982
1915,XLK,SCHG,1.24486042771934
9955,DGRW,SPSM,1.2448356577122945
5429,SPYG,XLK,1.244298491739624
734,VUG,SCHG,1.2440860013948338
397,IVV,VOOG,1.2440150908365126
7935,XLC,FTEC,1.2439579229940743
3331,SPLG,VOOG,1.2435035689848886
3241,SPLG,IVW,1.243409205797361
11508,GSLC,SCHG,1.2433000901635205
9067,XLP,SCHG,1.243093868453107
5268,SCHB,IYW,1.243064412161878
802,VUG,IWY,1.242766981211414
11336,VOOG,SCHG,1.2427145587857282
11227,ESGU,VONG,1.2425662608068722
1357,IJR,XLK,1.2424283478025515
9058,XLP,VNQ,1.2422211021527463
6393,VONG,FTEC,1.2420510006703984
7241,IUSG,QUAL,1.241983076700871
7839,XLC,XLK,1.2419192466095776
5523,SPYG,IWY,1.2417695921030532
9840,DGRW,QQQ,1.2416302001141515
7707,ACWI,IYW,1.2415577309395092
140,VOO,QQQ,1.2415568543731934
3260,SPLG,QQQM,1.2415168014504927
430,VTI,VGT,1.2413581948424477
1925,XLK,MGK,1.2413558855846205
10462,HYG,SMH,1.2412597528611775
405,IVV,IWO,1.2412492906282724
11304,VOOG,VGT,1.241026827097974
11401,VOOG,IWY,1.2408146807191867
3347,SPLG,VTWO,1.2407298691696274
11283,ESGU,IWO,1.240499852913137
9109,XLP,IWP,1.2404622280507687
11983,IWY,VGT,1.2404182362026144
2355,ITOT,IYW,1.2399658720141566
11348,VOOG,VONG,1.2398942246996165
11577,GSLC,IWY,1.2397080060552002
2952,SCHX,SCHG,1.2395148254664812
5470,SPYG,VONG,1.239299895513484
12032,IWY,MGK,1.2390473558102286
9315,SLV,XLY,1.2390146794618508
12020,IWY,SCHG,1.23900193614403
10761,AVUV,FTEC,1.238845630089316
1286,VIG,VONG,1.238806796873389
746,VUG,VONG,1.2387828509369674
5458,SPYG,SCHG,1.2387826753643112
3510,VT,SCHG,1.2386271447703605
256,VOO,VOOG,1.2385739783372711
3028,SCHX,IWY,1.2384873249049762
9077,XLP,MGK,1.2384060739606462
3233,SPLG,IWM,1.238226295064131
11346,VOOG,MGK,1.2380463682873786
8696,VHT,GBTC,1.2379311094629915
165,VOO,IVW,1.237918099621267
612,QQQ,SPYG,1.2378851067090966
3830,VV,VGT,1.2377850222932973
2966,SCHX,VONG,1.23773974434067
564,QQQ,IWF,1.2377318410468852
11521,GSLC,VONG,1.2377292273663456
3476,VT,VGT,1.2374057553073388
9915,DGRW,SCHA,1.2373080614236802
7292,IUSG,XLC,1.2367869580234838
6291,VONG,XLK,1.2367204247687216
3216,SPLG,QQQ,1.2366822941333464
3580,VT,IWY,1.2366016549077044
6677,USHY,VGT,1.2364959540065052
10152,EFG,SMH,1.2364563568722942
4531,QQQM,IWF,1.2361044933622924
11282,ESGU,IWY,1.2360498492716225
1977,XLK,IWY,1.2356772791341009
3297,SPLG,VBK,1.235340892167986
11931,FTEC,IYW,1.235241775971366
1976,XLK,FTEC,1.2351232787483615
9041,XLP,VB,1.2348240188727644
