Fri Jun 18 01:13:09 2021    output.dat

         298323675 function calls (280643773 primitive calls) in 290.736 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16423    1.713    0.000    1.713    0.000 C:\Users\marin\workspace\ib-auto-trading\backtest\backtest_trades_all.py:61(countSlopingCrosses)
    16054    0.007    0.000    0.008    0.000 {method 'extend' of 'list' objects}
    15954    0.004    0.000    0.004    0.000 {built-in method builtins.abs}
    15426    0.015    0.000    0.022    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\packages\six.py:1015(ensure_text)
    15426    0.009    0.000    0.020    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\util\url.py:413(ensure_type)
    15426    0.017    0.000    0.022    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\structures.py:53(__getitem__)
    15194    0.024    0.000    0.045    0.000 {built-in method builtins.all}
15027/5009    0.052    0.000    0.052    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\eventkit\event.py:26(__init__)
    14592    0.010    0.000    0.010    0.000 {method 'join' of 'str' objects}
    14571    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
    14337    0.046    0.000    0.053    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_asarray.py:382(<setcomp>)
    14337    0.116    0.000    0.268    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_asarray.py:293(require)
    14337    0.024    0.000    0.066    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1307(is_float_dtype)
    14337    0.012    0.000    0.019    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:600(__len__)
    14337    0.107    0.000    0.575    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:127(__init__)
    14337    0.014    0.000    0.014    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:161(_check_ndim)
    14337    0.093    0.000    0.366    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:269(mgr_locs)
    14337    0.009    0.000    0.009    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:343(shape)
    14337    0.006    0.000    0.006    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:347(dtype)
    14337    0.077    0.000    1.413    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:2721(make_block)
    14337    0.008    0.000    0.031    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:208(<genexpr>)
    14337    0.011    0.000    0.014    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:210(ndim)
    14337    0.009    0.000    0.011    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1695(<genexpr>)
    14337    0.016    0.000    0.044    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1869(_shape_compat)
    14337    0.228    0.000    0.497    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1860(_stack_arrays)
