da,strategy_name,code,weight
2023-01-18,cot,GLD,0.4425
2023-01-18,cot,SHY,0.0575
2023-01-19,cot,QQQ,0.5
2023-01-19,cot,GLD,0.4425
2023-01-19,cot,SHY,0.0575
2023-01-20,cot,QQQ,0.5
2023-01-20,cot,GLD,0.4425
2023-01-20,cot,SHY,0.0575
2023-01-23,cot,QQQ,0.5
2023-01-23,cot,GLD,0.4425
2023-01-23,cot,SHY,0.0575
2023-01-24,cot,QQQ,0.5
2023-01-24,cot,GLD,0.4425
2023-01-24,cot,SHY,0.0575
2023-01-25,cot,QQQ,0.5
2023-01-25,cot,GLD,0.4425
2023-01-25,cot,SHY,0.0575
2023-01-26,cot,QQQ,0.5
2023-01-26,cot,GLD,0.4425
2023-01-26,cot,SHY,0.0575
2023-01-27,cot,QQQ,0.5
2023-01-27,cot,GLD,0.4425
2023-01-27,cot,SHY,0.0575
2023-01-30,cot,QQQ,1.0
2023-01-31,cot,QQQ,1.0
2023-02-01,cot,QQQ,1.0
2023-02-02,cot,QQQ,1.0
2023-02-03,cot,QQQ,1.0
2023-02-06,cot,QQQ,1.0
2023-02-07,cot,QQQ,1.0
2023-02-08,cot,QQQ,1.0
2023-02-09,cot,QQQ,1.0
2023-02-10,cot,QQQ,1.0
2023-02-13,cot,QQQ,1.0
2023-02-14,cot,QQQ,1.0
2023-02-15,cot,QQQ,1.0
2023-02-16,cot,QQQ,1.0
2023-02-17,cot,QQQ,1.0
2023-02-21,cot,QQQ,0.5
2023-02-21,cot,GLD,0.4425
2023-02-21,cot,SHY,0.0575
2023-02-22,cot,QQQ,0.5
2023-02-22,cot,GLD,0.4425
2023-02-22,cot,SHY,0.0575
2023-02-23,cot,QQQ,0.5
2023-02-23,cot,GLD,0.4425
2023-02-23,cot,SHY,0.0575
2023-02-24,cot,QQQ,0.5
2023-02-24,cot,GLD,0.4425
2023-02-24,cot,SHY,0.0575
2023-02-27,cot,QQQ,1.0
2023-02-28,cot,QQQ,1.0
2023-03-01,cot,QQQ,1.0
2023-03-02,cot,QQQ,1.0
2023-03-03,cot,QQQ,1.0
2023-03-06,cot,QQQ,1.0
2023-03-07,cot,QQQ,1.0
2023-03-08,cot,QQQ,1.0
2023-03-09,cot,QQQ,1.0
2023-03-10,cot,QQQ,1.0
2023-03-13,cot,QQQ,1.0
2023-03-14,cot,QQQ,1.0
2023-03-15,cot,QQQ,1.0
2023-03-16,cot,QQQ,1.0
2023-03-17,cot,QQQ,1.0
2023-03-20,cot,QQQ,1.0
2023-03-21,cot,QQQ,1.0
2023-03-22,cot,QQQ,1.0
2023-03-23,cot,QQQ,1.0
2023-03-24,cot,QQQ,1.0
2023-03-27,cot,QQQ,1.0
2023-03-28,cot,QQQ,1.0
2023-03-29,cot,QQQ,1.0
2023-03-30,cot,QQQ,1.0
2023-03-31,cot,QQQ,1.0
2023-04-03,cot,QQQ,0.5
2023-04-03,cot,GLD,0.4425
2023-04-03,cot,SHY,0.0575
2023-04-04,cot,QQQ,0.5
2023-04-04,cot,GLD,0.4425
2023-04-04,cot,SHY,0.0575
2023-04-05,cot,QQQ,0.5
2023-04-05,cot,GLD,0.4425
2023-04-05,cot,SHY,0.0575
2023-04-06,cot,QQQ,0.5
2023-04-06,cot,GLD,0.4425
2023-04-06,cot,SHY,0.0575
2023-04-10,cot,QQQ,0.5
2023-04-10,cot,GLD,0.4425
2023-04-10,cot,SHY,0.0575
2023-04-11,cot,QQQ,0.5
2023-04-11,cot,GLD,0.4425
2023-04-11,cot,SHY,0.0575
2023-04-12,cot,QQQ,0.5
2023-04-12,cot,GLD,0.4425
2023-04-12,cot,SHY,0.0575
2023-04-13,cot,QQQ,0.5
2023-04-13,cot,GLD,0.4425
2023-04-13,cot,SHY,0.0575
2023-04-14,cot,QQQ,0.5
2023-04-14,cot,GLD,0.4425
2023-04-14,cot,SHY,0.0575
2023-04-17,cot,QQQ,1.0
2023-04-18,cot,QQQ,1.0
2023-04-19,cot,QQQ,1.0
2023-04-20,cot,QQQ,1.0
2023-04-21,cot,QQQ,1.0
2023-04-24,cot,QQQ,1.0
2023-04-25,cot,QQQ,1.0
2023-04-26,cot,QQQ,1.0
2023-04-27,cot,QQQ,1.0
2023-04-28,cot,QQQ,1.0
2023-05-01,cot,QQQ,1.0
2023-05-02,cot,QQQ,1.0
2023-05-03,cot,QQQ,1.0
2023-05-04,cot,QQQ,1.0
2023-05-05,cot,QQQ,1.0
2023-05-08,cot,QQQ,1.0
2023-05-09,cot,QQQ,1.0
2023-05-10,cot,QQQ,1.0
2023-05-11,cot,QQQ,1.0
2023-05-12,cot,QQQ,1.0
2023-05-15,cot,QQQ,1.0
2023-05-16,cot,QQQ,1.0
2023-05-17,cot,QQQ,1.0
2023-05-18,cot,QQQ,1.0
2023-05-19,cot,QQQ,1.0
2023-05-22,cot,QQQ,0.5
