Symbol,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
PGRE,0.08662856406239998,0.24526096650347862,0.09699841408133043,0.07376978838625392,0.034730670389313545,0.10376386363975304,0.10696178861888876,0.05098750878996212,0.07134619108884793,0.060453214625061716,0.07996368622435773,0.0989535064430576
BBDC,0.046679497081137736,0.05177558629784189,0.02012254373274145,0.03364090123103949,0.03322433564723364,0.05458954223337518,0.02677445740146998,0.058699969538864645,0.10679041831998434,0.043470528830012456,0.027638646195177047,0.06726148323197469
CBRL,0.1288717047320767,0.13627983597751983,0.11165226913639162,0.07470738503283285,0.04595660999706829,0.06091396947113245,0.1090205597639006,0.12806156826064555,0.0821665917084433,0.15334272155256107,0.053255643423385866,0.16611713024761904
THR,0.08186061637099398,0.15586206330341024,0.1471033509772664,0.06795796079347469,0.0824139423275466,0.13302497604381353,0.06530590188367598,0.07417158820362287,0.08291753594718526,0.09765623449724263,0.07984436447248994,0.05526717986728671
IMOS,0.06718484492593352,0.056208112139604936,0.0872580933607367,0.09228689334446843,0.06900516908365342,0.1415426082178749,0.09607987162567946,0.07095772160893328,0.09596082704781987,0.06046577608243932,0.07210931612041878,0.0587104267042946
NEXA,0.09634872162699187,0.06583443548858722,0.07506019528846083,0.02792328040090618,0.10406039821196386,0.1424265434138927,0.07337618035962327,0.22069108628188136,0.0199932702235738,0.07575777756297296,0.08845290792880708,0.09604595176880129
ATUS,0.15752192049050398,0.23806327748579412,0.12054226362040309,0.19328397793902127,0.2521211386958285,0.16173300984898417,0.13253424691066193,0.030797694233767575,0.24433996153627827,0.17907931825905998,0.14239660135401389,0.22982987106862524
FSLY,0.2340487114280118,0.38453662230042795,0.20547352849672426,0.0622829776725634,0.20487176337281532,0.17470376643187274,0.1792010382790671,0.2520557237440479,0.08922839967522828,0.2476261648157292,0.19034476928982555,0.12338611179926937
UUUU,0.19147292735357607,0.26213230599681936,0.1445484282975902,0.10309131952737663,0.21203804791774927,0.12502381985696387,0.25534346591742235,0.08984300442403931,0.2816970933983033,0.10379159384334752,0.07797923955182545,0.014446178502048098
SCVL,0.1641364708944849,0.22401421913603592,0.07700565500780811,0.06014343815783425,0.1494278050448219,0.1700554740393956,0.09647131901644332,0.14273835706492405,0.09896884966124071,0.0833411082374151,0.04655427556317568,0.17465051212863525
