da,strategy_name,code,weight
2022-03-30,capex,AAPL,0.0
2022-03-31,capex,AAPL,0.0
2022-04-01,capex,AAPL,0.0
2022-04-04,capex,AAPL,0.0
2022-04-05,capex,AAPL,0.0
2022-04-06,capex,AAPL,0.0
2022-04-07,capex,AAPL,0.0
2022-04-08,capex,AAPL,0.0
2022-04-11,capex,AAPL,0.0
2022-04-12,capex,AAPL,0.0
2022-04-13,capex,AAPL,0.0
2022-04-14,capex,AAPL,0.0
2022-04-18,capex,AAPL,0.0
2022-04-19,capex,AAPL,0.0
2022-04-20,capex,AAPL,0.0
2022-04-21,capex,AAPL,0.0
2022-04-22,capex,AAPL,0.0
2022-04-25,capex,AAPL,0.0
2022-04-26,capex,AAPL,0.0
2022-04-27,capex,AAPL,0.0
2022-04-28,capex,AAPL,0.0
2022-04-29,capex,AAPL,0.0
2022-05-02,capex,AAPL,0.0
2022-05-03,capex,AAPL,0.0
2022-05-04,capex,AAPL,0.0
2022-05-05,capex,AAPL,0.0
2022-05-06,capex,AAPL,0.0
2022-05-09,capex,AAPL,0.0
2022-05-10,capex,AAPL,0.0
2022-05-11,capex,AAPL,0.0
2022-05-12,capex,AAPL,0.0
2022-05-13,capex,AAPL,0.0
2022-05-16,capex,AAPL,0.0
2022-05-17,capex,AAPL,0.0
2022-05-18,capex,AAPL,0.0
2022-05-19,capex,AAPL,0.0
2022-05-20,capex,AAPL,0.0
2022-05-23,capex,AAPL,0.0
2022-05-24,capex,AAPL,0.0
2022-05-25,capex,AAPL,0.0
2022-05-26,capex,AAPL,0.0
2022-05-27,capex,AAPL,0.0
2022-05-31,capex,AAPL,0.0
2022-06-01,capex,AAPL,0.0
2022-06-02,capex,AAPL,0.0
2022-06-03,capex,AAPL,0.0
2022-06-06,capex,AAPL,0.0
2022-06-07,capex,AAPL,0.0
2022-06-08,capex,AAPL,0.0
2022-06-09,capex,AAPL,0.0
2022-06-10,capex,AAPL,0.0
2022-06-13,capex,AAPL,0.0
2022-06-14,capex,AAPL,0.0
2022-06-15,capex,AAPL,0.0
2022-06-16,capex,AAPL,0.0
2022-06-17,capex,AAPL,0.0
2022-06-21,capex,AAPL,0.0
2022-06-22,capex,AAPL,0.0
2022-06-23,capex,AAPL,0.0
2022-06-24,capex,AAPL,0.0
2022-06-27,capex,AAPL,0.0
2022-06-28,capex,AAPL,0.0
2022-06-29,capex,AAPL,0.0
2022-06-30,capex,AAPL,0.0
2022-07-01,capex,BIIB,0.15596817218361045
2022-07-01,capex,GILD,0.8440318278163895
2022-07-05,capex,BIIB,0.15596817218361045
2022-07-05,capex,GILD,0.8440318278163895
2022-07-06,capex,BIIB,0.15596817218361045
2022-07-06,capex,GILD,0.8440318278163895
2022-07-07,capex,BIIB,0.15596817218361045
2022-07-07,capex,GILD,0.8440318278163895
2022-07-08,capex,BIIB,0.15596817218361045
2022-07-08,capex,GILD,0.8440318278163895
2022-07-11,capex,BIIB,0.15596817218361045
2022-07-11,capex,GILD,0.8440318278163895
2022-07-12,capex,BIIB,0.15596817218361045
2022-07-12,capex,GILD,0.8440318278163895
2022-07-13,capex,BIIB,0.15596817218361045
2022-07-13,capex,GILD,0.8440318278163895
2022-07-14,capex,BIIB,0.15596817218361045
2022-07-14,capex,GILD,0.8440318278163895
2022-07-15,capex,BIIB,0.15596817218361045
2022-07-15,capex,GILD,0.8440318278163895
2022-07-18,capex,BIIB,0.15596817218361045
2022-07-18,capex,GILD,0.8440318278163895
2022-07-19,capex,BIIB,0.15596817218361045
2022-07-19,capex,GILD,0.8440318278163895
2022-07-20,capex,BIIB,0.15596817218361045
2022-07-20,capex,GILD,0.8440318278163895
2022-07-21,capex,BIIB,0.15596817218361045
2022-07-21,capex,GILD,0.8440318278163895
2022-07-22,capex,BIIB,0.15596817218361045
2022-07-22,capex,GILD,0.8440318278163895
2022-07-25,capex,BIIB,0.15596817218361045
2022-07-25,capex,GILD,0.8440318278163895
2022-07-26,capex,BIIB,0.15596817218361045
2022-07-26,capex,GILD,0.8440318278163895
2022-07-27,capex,BIIB,0.15596817218361045
2022-07-27,capex,GILD,0.8440318278163895
2022-07-28,capex,BIIB,0.15596817218361045
2022-07-28,capex,GILD,0.8440318278163895
2022-07-29,capex,BIIB,0.15596817218361045
2022-07-29,capex,GILD,0.8440318278163895
2022-08-01,capex,BIIB,0.15596817218361045
2022-08-01,capex,GILD,0.8440318278163895
2022-08-02,capex,BIIB,0.6475884459105961
2022-08-02,capex,AVGO,0.35241155408940406
2022-08-03,capex,BIIB,0.6475884459105961
2022-08-03,capex,AVGO,0.35241155408940406
2022-08-04,capex,BIIB,0.6475884459105961
2022-08-04,capex,AVGO,0.35241155408940406
2022-08-05,capex,BIIB,0.6475884459105961
2022-08-05,capex,AVGO,0.35241155408940406
2022-08-08,capex,BIIB,0.6475884459105961
2022-08-08,capex,AVGO,0.35241155408940406
2022-08-09,capex,BIIB,0.6475884459105961
2022-08-09,capex,AVGO,0.35241155408940406
2022-08-10,capex,BIIB,0.6475884459105961
2022-08-10,capex,AVGO,0.35241155408940406
2022-08-11,capex,BIIB,0.6475884459105961
2022-08-11,capex,AVGO,0.35241155408940406
2022-08-12,capex,BIIB,0.6475884459105961
2022-08-12,capex,AVGO,0.35241155408940406
2022-08-15,capex,BIIB,0.6475884459105961
2022-08-15,capex,AVGO,0.35241155408940406
2022-08-16,capex,BIIB,0.6475884459105961
2022-08-16,capex,AVGO,0.35241155408940406
2022-08-17,capex,BIIB,0.6475884459105961
2022-08-17,capex,AVGO,0.35241155408940406
2022-08-18,capex,BIIB,0.6475884459105961
2022-08-18,capex,AVGO,0.35241155408940406
2022-08-19,capex,BIIB,0.6475884459105961
2022-08-19,capex,AVGO,0.35241155408940406
2022-08-22,capex,BIIB,0.6475884459105961
2022-08-22,capex,AVGO,0.35241155408940406
2022-08-23,capex,BIIB,0.6475884459105961
2022-08-23,capex,AVGO,0.35241155408940406
2022-08-24,capex,BIIB,0.6475884459105961
2022-08-24,capex,AVGO,0.35241155408940406
2022-08-25,capex,BIIB,0.6475884459105961
2022-08-25,capex,AVGO,0.35241155408940406
2022-08-26,capex,BIIB,0.6475884459105961
2022-08-26,capex,AVGO,0.35241155408940406
2022-08-29,capex,BIIB,0.6475884459105961
2022-08-29,capex,AVGO,0.35241155408940406
