,symbol,ar,sr,mdd
3529,BAYAU,0.9769045048769909,2.3813649785281576,0.07266816138323114
2153,YBTC,1.2848853459240588,2.3696374681990733,0.16298772190087885
2318,BCUS,0.667540440375523,2.3690014660782,0.0567829301734172
1944,BINV,0.5264120712097982,2.362773408756265,0.042410938163522954
2391,TBG,0.4809434116457849,2.338237696641276,0.0416085904886712
3611,MSTY,6.173185320190189,2.3350030667940005,0.38322870409771187
1786,GPIQ,0.6230248181455578,2.3319252465638485,0.06528511151961619
3581,HYKE,1.0328124858197159,2.3280860367716603,0.059749228145684855
3239,INOV,0.6286080881485714,2.321033900414438,0.04148567697016707
1101,EETH,2.4721390180779834,2.3162719489250367,0.2919894346441229
2822,CRTC,0.5654444501651126,2.311544076244143,0.051867087941937715
