Symbol,rr,pl
BBW,7.2000000000000055,4.160021869622378
DDS,1.7000000000000006,4.155576687309592
ROCC,3.0000000000000018,4.144530530384819
ARLP,26.400000000000023,4.137955804578723
HROW,7.900000000000006,4.134115627981597
WTI,3.0000000000000018,4.129908580058916
LRMR,2.300000000000001,4.104484740349541
GRIN,3.9000000000000026,4.085123540710343
IMPL,1.8000000000000007,4.0839292259535585
IVDA,2.6000000000000014,4.079907980560375
SGMA,4.100000000000003,4.062673916959426
ARL,11.20000000000001,4.052551245611043
TANH,29.300000000000026,4.041083594780966
TOI,1.3000000000000003,4.0072879452908206
DOGZ,1.1,3.9993012110277917
TEAM,17.300000000000015,3.990774925322822
ASC,6.400000000000005,3.944526493810534
TUSK,2.9000000000000017,3.9285871433717094
CABA,3.200000000000002,3.887360792051337
DVN,3.300000000000002,3.8821960898898515
SBR,6.300000000000004,3.8657518557547874
NEX,1.3000000000000003,3.852105091181118
KOS,4.200000000000003,3.836794359477327
AR,3.6000000000000023,3.8312163587884354
ARCH,18.800000000000015,3.823022356505704
BTE,30.000000000000025,3.8187923553935406
AMRK,2.200000000000001,3.81280790460081
VAL,3.9000000000000026,3.8066536115533083
OBE,3.0000000000000018,3.7966348862165353
PBF,2.4000000000000012,3.785971314669408
ENPH,2.300000000000001,3.77726497519105
DRCT,7.700000000000006,3.7766039791265746
AMPY,3.100000000000002,3.7602515384793707
STNG,9.100000000000007,3.7532318949548666
SNGX,30.000000000000025,3.7441348008176565
LIVE,9.400000000000007,3.734368067124792
HPK,29.800000000000026,3.7248584297099976
TIPT,3.200000000000002,3.693875748186219
METC,13.700000000000012,3.682454858404175
TORO,7.000000000000005,3.6450741884617504
KRUS,2.4000000000000012,3.6429521648765584
PXMD,2.5000000000000013,3.6420435916397977
SYM,8.700000000000006,3.6116156325712048
CLFD,2.300000000000001,3.607614325153503
IMCR,3.0000000000000018,3.6046908634067805
PDSB,6.300000000000004,3.603741164533725
ZIM,1.9000000000000008,3.5889818933193163
SID,1.8000000000000007,3.5862056782323486
ESTE,2.7000000000000015,3.572574880441326
FRD,3.200000000000002,3.558080560016999
NOTV,6.100000000000005,3.5573088674608906
TRVI,1.3000000000000003,3.5356506100668534
TDW,3.200000000000002,3.5263218790393704
LBPH,1.1,3.5152401822509547
MLTX,29.400000000000027,3.478195359599802
GSUN,5.5000000000000036,3.4726549914060576
PI,1.2000000000000002,3.4705352021928717
JXJT,2.100000000000001,3.433538682136521
RYI,3.200000000000002,3.432396938457307
CXAI,12.40000000000001,3.429117105826746
GREE,2.4000000000000012,3.4289365074859464
TGS,1.4000000000000004,3.4260220109304846
PNRG,9.900000000000007,3.4147231378726803
VALU,11.000000000000009,3.4064811119483456
EGLE,2.300000000000001,3.3973350936697577
AMPH,2.000000000000001,3.3838830177782335
VRTV,12.60000000000001,3.376185954843113
BANL,11.90000000000001,3.3701220293978373
PBR,22.000000000000018,3.3691024973299277
STGW,4.600000000000003,3.3635267490844805
SDPI,1.7000000000000006,3.36046219417353
ATLC,1.9000000000000008,3.3503842371368324
PXS,7.500000000000005,3.3227125710474184
PT,2.100000000000001,3.304669564564115
CJJD,1.2000000000000002,3.292887936558342
LXU,21.90000000000002,3.2913892910183633
ELOX,1.2000000000000002,3.288220537054638
CPSS,2.5000000000000013,3.2855734854436167
SMCI,1.8000000000000007,3.281601989215094
IMO,4.600000000000003,3.27054543075635
CBAY,7.700000000000006,3.233892629632859
WIRE,7.2000000000000055,3.2164955833117737
TECK,3.100000000000002,3.210946316610681
PNT,1.5000000000000004,3.194025774264647
INSP,2.8000000000000016,3.1920010268028385
HUDI,30.000000000000025,3.1897083649046234
VATE,2.100000000000001,3.168367042317548
STBX,2.4000000000000012,3.1544092832442816
LQDA,1.2000000000000002,3.151486149684747
JILL,18.300000000000015,3.145922353037051
PDS,4.600000000000003,3.142846447287088
ENLC,1.3000000000000003,3.14171431618468
CRK,1.7000000000000006,3.12422474946192
ACET,1.0,3.122775929898203
STLD,6.500000000000005,3.1185807745454097
TERN,9.500000000000007,3.1147229176049755
QUAD,3.100000000000002,3.1084959109479224
PAM,3.200000000000002,3.1046387161081057
IBIO,4.3000000000000025,3.103479612166616
FCUV,12.70000000000001,3.102989056464587
NIR,9.100000000000007,3.0985195500567104
GATO,1.5000000000000004,3.09634303548153
CLEU,1.0,3.0868871058384517
APLS,9.700000000000008,3.081640629726488
ACLS,2.9000000000000017,3.04458363044999
MNKD,1.6000000000000005,3.036890287064783
ALTI,8.500000000000007,3.036370687778807
FULC,1.7000000000000006,3.022220212425715
KLXE,1.5000000000000004,3.0182501773368537
OWL,2.7000000000000015,3.015705583406478
ELF,17.200000000000014,3.014172666894504
CEPU,9.800000000000008,3.0076050859660626
QFIN,1.7000000000000006,2.993450794072336
DO,1.8000000000000007,2.992611422074962
PTGX,21.80000000000002,2.989257968042234
RIG,2.100000000000001,2.982230825687457
SIM,20.100000000000016,2.9816890423191884
ASO,5.5000000000000036,2.95314738717185
