Symbol,poc_level,proc_bars,rr
6135,4765,37,30.0
6810,1495,96,30.0
8929,1005,51,30.0
7490,917,69,19.4
2790,1833,16,30.0
4750,576,26,30.0
9069,969,4,30.0
3148,3305,3,24.2
9691,2010,16,30.0
8127,281,16,30.0
1376,1617,15,29.4
4229,2652,43,19.0
5900,761,2,25.5
4348,2367,95,30.0
4752,907,2,16.9
2763,1100,22,25.4
9831,468,15,19.0
8931,960,2,23.0
6837,287,2,17.5
7510,1689,33,30.0
8198,2725,59,19.6
9876,152,38,30.0
1976,926,84,27.7
7705,2279,46,30.0
4970,7990,26,21.5
4678,411,49,30.0
9687,2287,68,30.0
7482,1136,7,19.9
6973,2142,42,12.3
2997,490,83,16.0
1770,950,7,14.6
3495,2368,61,13.4
3490,1921,54,29.7
4206,3070,9,14.1
8593,704,2,21.9
7427,810,48,23.8
3195,323,99,13.7
6771,624,35,30.0
6196,4015,63,22.0
9600,1325,2,15.9
3447,717,19,23.4
5461,2021,3,30.0
5218,1174,61,29.6
8595,2085,86,18.8
4287,317,9,26.4
9361,1913,39,17.2
6085,510,28,30.0
4113,744,46,30.0
1766,7820,2,30.0
2984,908,25,30.0
3248,756,94,30.0
3092,2994,36,30.0
9554,1100,29,26.7
3087,2127,3,30.0
3089,1107,18,16.3
3320,776,60,18.6
9115,629,45,17.8
4809,1965,15,13.8
4124,1663,4,13.3
3733,8790,34,28.3
5831,1016,2,20.1
5698,721,96,30.0
2924,1010,57,14.6
6668,1537,100,30.0
9904,356,2,24.6
6373,742,74,29.7
9782,1452,39,12.4
3002,4675,2,17.6
3969,1470,16,30.0
8119,1650,2,25.7
3981,1238,95,27.0
1997,1360,61,16.6
5476,350,2,30.0
3524,1452,2,15.7
8217,895,63,20.0
7217,880,4,30.0
5984,728,38,30.0
7097,720,3,21.0
2927,782,56,30.0
6901,1140,22,13.4
6360,2311,74,29.0
5162,587,2,23.1
6853,358,10,27.0
6402,1220,76,30.0
9342,1591,34,30.0
5237,714,3,21.5
6286,789,77,30.0
8084,2036,21,19.6
6942,773,3,15.5
9867,5150,21,12.4
9078,834,40,30.0
7505,1111,2,22.2
8218,3110,4,30.0
4569,1748,4,30.0
3539,1988,2,25.4
7865,1177,100,12.0
9193,566,2,17.7
7521,1805,2,27.6
4345,768,3,25.2
2114,509,96,25.9
4885,767,79,30.0
6149,1678,17,14.9
4471,4285,12,21.8
9991,895,62,28.9
8613,427,87,25.0
3437,2659,2,15.6
7615,204,18,30.0
7800,660,2,28.9
7036,1334,34,30.0
3173,764,48,29.9
7804,1214,23,30.0
4783,840,49,30.0
2309,2109,27,13.6
4496,771,58,13.8
4705,795,9,26.3
6855,1502,64,12.2
7975,920,6,17.4
6995,1844,2,27.1
3465,4120,47,30.0
8144,1193,94,26.6
4102,1295,38,12.5
9083,3450,9,13.2
6633,302,47,29.7
9760,297,22,16.9
6403,1368,92,26.8
1828,971,49,30.0
6018,1617,6,28.8
3758,381,92,19.0
7983,1509,2,14.7
5217,4200,52,12.3
9326,573,7,30.0
3317,2100,40,30.0
6192,109,25,30.0
2393,1590,13,19.4
9058,6864,84,30.0
6823,1952,22,30.0
9017,2061,97,30.0
2207,1724,21,30.0
3666,579,47,30.0
6197,668,68,22.7
3953,569,4,18.5
5699,1298,16,30.0
9980,117,31,30.0
3242,330,3,12.0
7649,5860,17,30.0
3988,749,64,26.2
9220,1147,3,30.0
5990,1951,38,19.8
5277,233,99,30.0
3645,400,56,30.0
7851,205,10,30.0
2782,2481,23,30.0
9658,1983,74,20.4
9313,680,33,30.0
9511,1087,76,19.5
2294,2275,2,30.0
7371,695,73,30.0
7908,198,85,30.0
4248,811,2,12.0
3551,754,48,27.2
6049,289,26,16.5
4934,1265,26,30.0
9835,586,12,25.5
4623,1918,97,30.0
3080,515,86,21.6
6222,1893,23,30.0
4694,3081,42,30.0
3179,876,8,30.0
9976,1255,93,30.0
5962,1449,14,30.0
3853,748,90,27.8
9444,651,48,30.0
6445,623,24,30.0
3640,1804,91,30.0
3261,372,100,28.0
4068,2339,41,18.4
6778,972,20,30.0
6384,1380,30,17.6
3416,834,50,30.0
7722,532,22,30.0
6994,495,21,27.0
9057,2421,57,27.6
9322,1017,5,30.0
8854,1456,87,30.0
3845,131,100,30.0
7940,608,86,26.0
4524,2131,88,21.0
3020,2033,22,27.8
4976,2326,50,12.6
5703,1483,66,17.0
2107,914,13,30.0
9562,1470,20,30.0
8006,2769,37,28.6
3169,622,64,18.7
2471,630,50,13.5
4563,124,89,17.0
9993,1283,44,30.0
3892,914,3,22.9
5204,1571,28,23.1
2326,5230,92,30.0
7963,1671,98,30.0
9564,1630,45,30.0
4247,1103,31,14.7
6986,524,13,30.0
5921,2805,2,30.0
6580,901,20,12.4
6082,1095,21,13.9
3059,1008,22,30.0
9895,1113,3,28.5
3464,1190,100,30.0
5368,813,5,30.0
9414,907,50,18.0
7255,500,2,15.9
6524,5150,39,30.0
9441,1760,93,27.5
3844,2015,61,30.0
3341,1145,40,30.0
7863,917,49,30.0
4540,2759,2,13.2
4549,1564,21,21.1
3396,1003,21,16.0
3690,630,7,14.0
4125,3245,34,30.0
3110,2066,54,30.0
6938,385,45,30.0
2179,739,49,13.5
4005,458,56,30.0
3353,2350,4,30.0
5695,2211,19,13.4
5909,930,2,27.3
7689,696,2,30.0
3998,739,57,30.0
4406,216,94,30.0
1821,398,100,30.0
3939,574,88,17.3
9504,716,3,14.3
1971,527,5,13.1
5028,1450,30,24.0
6666,719,16,23.2
9903,1522,73,12.6
4506,837,11,30.0
9256,961,35,30.0
6757,786,60,30.0
7676,1486,49,17.3
9259,1284,9,30.0
4387,1000,60,30.0
5367,625,16,29.4
7857,1374,99,30.0
7370,1162,22,21.1
4262,809,47,26.8
9635,1997,24,14.0
6155,579,26,30.0
7794,2721,61,21.3
8278,1770,11,30.0
9476,445,45,30.0
7192,693,26,30.0
4482,550,94,29.3
6050,2364,59,30.0
3426,1260,29,16.0
5527,1899,8,30.0
3970,1541,35,30.0
3902,870,38,15.5
6533,1877,93,30.0
5010,123,8,30.0
3930,846,35,30.0
7832,8242,99,30.0
3677,799,70,17.0
4494,900,11,30.0
