Symbol,Balabce,Period
PHVS,3.8762376225937722,10
TIO,3.860214931783766,16
AMC,3.848640443076647,11
4011,3.8314285714285714,33
GSIT,3.766233983380057,12
QBTS,3.7349398181591535,11
7972,3.7256410256410257,83
VATE,3.7195121694150104,37
TRVI,3.7115384968074836,24
CRKN,3.705128373635754,3
2195,3.664576619197245,8
WFRD,3.6623930645424108,335
RPHM,3.6523607328475736,22
INDO,3.651192113867041,20
2983,3.6041666666666665,45
AHG,3.593199920654297,4
PIII,3.5840709803761466,25
5410,3.575187969924812,113
IMVT,3.571428527855271,144
STIX,3.5687023738687773,28
GREE,3.5659678685873155,15
PETZ,3.553333282470703,13
6338,3.5129604365620737,179
ISPO,3.5092349980192594,9
3399,3.499491353001017,66
ASC,3.493333435058594,86
2872,3.492260193901329,128
4334,3.4862385321100917,136
VIST,3.4803922753714605,257
4169,3.4740259740259742,25
4777,3.4587628865979383,16
NERV,3.452631592156154,45
CUEN,3.4502369061873748,6
MHUA,3.4489311938711134,12
POWL,3.420599004500231,159
KLR,3.4100000858306885,52
PLRX,3.401544676283251,16
APP,3.3967742119073625,57
BCAN,3.391402604609656,23
ASPI,3.3766233364111007,13
2304,3.364,120
GLYC,3.360655580724132,25
ADTX,3.3582088715729,3
GETY,3.3489794955160277,3
SISI,3.345679049592904,4
3989,3.3405172413793105,166
GOTU,3.3377483401882624,23
3316,3.3263358778625953,112
STNG,3.325597273424474,141
IHT,3.322870143231938,11
SYM,3.3184498542051295,58
RVPH,3.3098591206400565,42
3936,3.2927570739706953,27
5406,3.2833876221498373,213
8040,3.269585253456221,21
MKUL,3.2527880348973888,4
7066,3.25,4
7927,3.228301886792453,132
HOLO,3.210300542489262,3
ASAN,3.206724888703353,38
BIMI,3.196969410987827,36
6961,3.1966987620357634,252
KOLD,3.195891976024741,127
ANVS,3.1931061151803886,10
AMEH,3.192557867496051,19
TDW,3.183579136139998,184
TNXP,3.176470588235294,5
8136,3.1739857800083646,214
BELFA,3.171428500819558,220
3073,3.160919540229885,187
RCMT,3.1422474385943304,35
SLNO,3.140000025431315,85
7352,3.1314741035856573,208
TRMD,3.12786494867242,136
ICVX,3.1250000532184337,21
OLMA,3.12032086805782,125
APLD,3.1124497872760504,43
TMDX,3.098982303387167,105
IMPP,3.0970873181128558,11
GRTX,3.093525348912301,7
SLQT,3.0918500633983683,24
NNOX,3.084577070364793,23
IPDN,3.084415660818909,12
BLIN,3.0805086034257316,5
BYSI,3.0793651934984387,17
7095,3.0631399317406145,104
TAST,3.0481927979059953,62
CDLX,3.043859817901739,74
ENSV,3.0399999618530273,9
MSC,3.0347826799057396,83
SKYH,3.0303797778554533,7
VAPO,3.017857232188083,9
3093,3.0116648992576884,191
INOD,2.976331384320297,109
LTRPB,2.965254331600798,5
SNAX,2.9591838191089526,6
6547,2.956445993031359,222
EBON,2.9326599172535013,9
FDMT,2.932270824500817,18
ATXS,2.9262821952972238,26
BWEN,2.920212651618523,5
UONEK,2.9162010622546886,13
YPF,2.9103448563136145,178
FULC,2.897606512073777,5
7059,2.8972067039106144,74
7868,2.891891891891892,222
9227,2.8898007033997657,22
AUVI,2.8854166314833707,4
BIVI,2.8840000152587892,109
CLRO,2.881356141102183,23
TNK,2.8753992558903096,195
3773,2.8725806451612903,119
IQ,2.8697477291132314,31
EZGO,2.853773708573629,33
CAR,2.845937802602687,39
KSCP,2.841529822080686,5
BBIO,2.840999984741211,184
7173,2.8378378378378377,164
ACLS,2.8358734046878973,365
TGTX,2.8345322490567315,71
DFH,2.8221303723077438,72
7014,2.817934782608696,477
NKLA,2.8145265868402536,15
TCMD,2.8128079402079083,53
VYGR,2.8125000206960564,19
AKU,2.8061224107078324,29
VRM,2.8051949861500476,13
6627,2.8024065864471184,74
XPON,2.8019801489384353,46
SDOT,2.799999970197678,116
3083,2.797773654916512,3
SBOW,2.796589400461783,17
CRVS,2.796460264748009,25
JUPW,2.7878787276720782,26
IVDA,2.7857142705090188,27
4393,2.7846674182638105,162
ARMP,2.782258081572609,5
AMR,2.7783410299032494,101
5210,2.7772795216741404,53
5445,2.7715355805243447,87
HOV,2.7705511221137353,96
TUSK,2.7696079416762696,124
VIGL,2.764516115635168,36
7089,2.7629682997118157,48
NGL,2.7625898947399117,92
6677,2.756076388888889,178
MTR,2.752040926745751,192
AUID,2.7500001635493314,75
CWBR,2.748466277410549,7
MTC,2.7421309599234522,15
NUVL,2.741637860276044,257
CEIX,2.732075287006476,207
NVDA,2.7195153341258598,64
NRGU,2.7184835747172964,92
IBIO,2.716666550768751,22
EFOI,2.7159090838719426,4
CBIO,2.7142857649699375,8
APCX,2.71428566750028,19
6231,2.7062831188493566,61
SOUN,2.7037037265971198,11
BVS,2.7029703414366537,15
ATXI,2.6974790740944186,3
JWEL,2.6950820968984712,21
CBAY,2.694352053944382,163
ANY,2.690082541804318,37
2970,2.689969604863222,144
ELF,2.6890688451435754,72
9553,2.6876640419947506,65
5337,2.6835443037974684,74
BLRX,2.683333250549108,44
2652,2.68,41
PDSB,2.6701570647951183,25
3133,2.6577777777777776,232
IMUX,2.6554621063046353,6
INTA,2.655258181659353,32
7776,2.6544117647058822,22
AVDL,2.653061172853953,20
SDA,2.651832537033989,3
OTRK,2.6499999503294647,8
XYF,2.6442953578567034,18
4310,2.643705463182898,20
BHRB,2.642867015695614,55
WULF,2.6396648962421856,67
BCAB,2.6348121550508403,51
CELZ,2.634615444572722,11
BELFB,2.6341462182727184,210
REKR,2.631205763101376,51
FATBB,2.62999997820173,5
9274,2.629179331306991,48
ATER,2.625654426244119,11
8890,2.6254681647940075,265
UPC,2.622950862387991,26
LUNR,2.6109661094519336,3
AUGX,2.610169454996674,85
7214,2.6063977746870655,147
UPST,2.6016260162601625,31
7878,2.5978428351309706,37
ARBK,2.597402674954846,13
HILS,2.5974026309128257,5
PESI,2.596938802817621,65
9219,2.58974358974359,80
EYPT,2.5894738110148716,51
GTEC,2.5892857383607204,46
SPRB,2.582159485678544,12
SPCE,2.5814741695333168,10
DGHI,2.581395339166364,5
WDH,2.581196659572185,22
GEOS,2.5789473684210527,148
TEDU,2.577586289287041,44
ATOS,2.5763547255091557,25
6590,2.574094401756312,252
AQST,2.5679011328193844,23
IVT,2.5663265877095713,13
AFRM,2.5644008960157607,42
3132,2.564199395770393,297
GRPN,2.5617022235019045,53
TNYA,2.5613381858455946,17
TERN,2.560975647577803,96
CIFR,2.560553626081507,72
HNRG,2.5600000381469727,150
AKBA,2.558922604871566,157
ARDX,2.5584416589722485,77
IMTE,2.553982311789212,5
PFIE,2.5526316862687524,139
7068,2.5491803278688523,75
UFPT,2.5489949175211337,253
BIOR,2.5447154471544717,27
LFCR,2.541984631405186,29
GNLX,2.538922083878371,3
8103,2.5373134821328045,6
7080,2.532981530343008,86
LEU,2.5282713204945764,28
META,2.525000156812224,40
5851,2.523931623931624,213
ADSE,2.520833312637277,11
GWAV,2.5185183528137984,9
3840,2.5172413793103448,106
6249,2.5113974231912786,47
7849,2.5096153846153846,325
3791,2.5095907928388748,160
2107,2.506343713956171,87
PROF,2.505999946594238,24
TOUR,2.500000152832428,36
CVU,2.500000042574747,58
CDTX,2.490566271146717,29
EMAN,2.4874999748542908,194
9560,2.485875792422537,60
LFMD,2.4842767073975063,74
VERV,2.4841438366728847,34
LASE,2.4823009545077306,9
COCO,2.481739210045856,178
3496,2.4757281553398056,200
XELB,2.4736841830080123,35
TCRT,2.471698138670551,40
TC,2.4699999491373696,15
CECO,2.468809170849583,73
3306,2.4584450402144773,40
ALT,2.45603283370094,33
RGTI,2.4557522867843247,30
4417,2.4551201011378003,117
7064,2.454499494438827,18
9522,2.452830188679245,47
IMRX,2.4523811091641523,32
BTBT,2.4516128536069557,24
HYMC,2.4515151003394484,4
KWE,2.4509246668205673,12
3607,2.448087431693989,51
8142,2.446270543615676,132
SERA,2.445730961706732,4
MARPS,2.442940024769707,10
CELH,2.44045023214616,277
LWLG,2.438848894538259,6
7715,2.4386281588447654,79
VERA,2.4372355874122524,42
2708,2.4368811881188117,173
6561,2.436670687575392,213
AMTX,2.435028242499446,6
BLBX,2.424749156145749,13
GFAI,2.4236252522089896,8
AMLI,2.4203820543708234,50
JCSE,2.41898134120821,5
DHC,2.4173228183854896,6
5727,2.415694591728526,62
NAOV,2.4146341094652994,7
4413,2.411764705882353,98
MREO,2.4116423111682126,16
4920,2.411504424778761,160
2216,2.4095427435387675,196
FLGC,2.408239745858303,63
THRX,2.4081632400298347,9
AXLA,2.4078624236947057,3
BETS,2.4063926224801935,17
9888,2.40625,169
7359,2.403225806451613,29
MICS,2.401197803550938,7
1773,2.4,25
3561,2.3993055555555554,115
2437,2.3972602739726026,100
AINC,2.3951500421011844,12
PRQR,2.3941605547251994,12
7130,2.3933649289099526,38
3566,2.3927927927927928,57
5820,2.3914699162223916,63
NEGG,2.3896690195415227,3
TBLT,2.389558147179331,10
5285,2.385135135135135,329
AMLX,2.3842696879641796,15
8011,2.3835616438356166,101
CRBP,2.383333365122477,16
MESA,2.381679405984634,28
ROOT,2.381355989564944,66
VTYX,2.3800409721428673,106
PBT,2.374608540639506,70
ASRT,2.373737254540248,43
PBF,2.373705182292362,162
SCKT,2.371475902683154,3
MEDS,2.368421073936072,6
NUTX,2.3684210196096145,24
ULBI,2.3669950226891103,89
6565,2.366320830007981,147
4268,2.3659420289855073,6
BTDR,2.361464796727965,11
MRNA,2.3593205164196607,36
2114,2.358,189
KZR,2.3576017235569804,85
5939,2.356132075471698,3
6335,2.351321585903084,4
BWMX,2.3504154856636132,91
OPRA,2.349425400249994,38
HOTH,2.3492063492063493,40
ADXN,2.3479729185494485,9
