Symbol,DividendGainPerDay
3465,9.842071727489747e-05
SRV,9.765146252049128e-05
3242,9.719999633585807e-05
5285,9.706913867305426e-05
5411,9.699861525223065e-05
SU,9.692949432384994e-05
IBM,9.684547283256096e-05
BX,9.593230981055671e-05
CWEN.A,9.589997043519275e-05
WMB,9.582855353961885e-05
3177,9.561240944295383e-05
7265,9.490332770587383e-05
1939,9.454743094132485e-05
4709,9.448165744589734e-05
8075,9.351332695004939e-05
6358,9.314966319955719e-05
8893,9.296253954615123e-05
ABBV,9.26116629551557e-05
IRM,9.253856142418514e-05
3107,9.242624013156524e-05
ARC,9.240807994658862e-05
CVX,9.239007103322103e-05
8929,9.22591477124607e-05
KOF,9.169740508323686e-05
9305,9.168455323753643e-05
OGE,9.1096998955336e-05
PAC,9.10364833587488e-05
UBP,9.097957189540795e-05
1451,9.094870557288996e-05
VLO,9.084457815087005e-05
CWEN,9.06188535797525e-05
6083,9.0478261270449e-05
MDRRP,9.042087635185387e-05
SPG,9.003369285252405e-05
BP,8.96085282424533e-05
4423,8.944304743558986e-05
9059,8.897943560633077e-05
PLYM,8.897097766804254e-05
SCCO,8.875850130357337e-05
BXMX,8.83740832162824e-05
1518,8.836847220136635e-05
7812,8.815804370510893e-05
8931,8.814332879395017e-05
5351,8.800754334268196e-05
3284,8.798844055007283e-05
3548,8.784217549864536e-05
DIT,8.734611674469826e-05
4064,8.733234560523473e-05
4680,8.712578774974222e-05
8892,8.705717647716797e-05
VICI,8.702025923025161e-05
NNN,8.660236670871588e-05
8737,8.657923945959873e-05
WINA,8.640020128131594e-05
BCX,8.632057721083523e-05
9769,8.617413337199946e-05
1605,8.610849629703858e-05
HGLB,8.565915669342901e-05
4690,8.563305070370668e-05
OFS,8.552678288300485e-05
6462,8.527889367031744e-05
FTS,8.447289963893281e-05
BRT,8.434970690723353e-05
O,8.429955727132827e-05
UBA,8.4135197460031e-05
3597,8.401646800948863e-05
5195,8.3832221395971e-05
7299,8.329418618255638e-05
7420,8.320133672349618e-05
7480,8.283101629556511e-05
6870,8.251940216509471e-05
5017,8.24492936843841e-05
7246,8.223813440032122e-05
5020,8.21962042932613e-05
BLX,8.214352213055227e-05
SPXX,8.198186198217211e-05
SLF,8.197113271069511e-05
EIX,8.178629406933494e-05
5185,8.178437541614034e-05
6998,8.166761730737407e-05
8904,8.163511490375247e-05
8053,8.157065305762495e-05
7809,8.15586868159581e-05
ING,8.138245041782107e-05
4767,8.137626343497678e-05
1764,8.137058683020905e-05
1808,8.135049845146832e-05
RY,8.121544279615826e-05
BGR,8.119447570878352e-05
5659,8.081091711987209e-05
7523,8.030543885154875e-05
4634,8.013377419528206e-05
IMO,8.010226358937832e-05
7088,8.004370166840038e-05
5214,8.00410176014025e-05
FE,8.00204766766228e-05
PJT,7.996932173784179e-05
GEF.B,7.987462757749743e-05
AMZA,7.961700974221195e-05
DAC,7.956271447969848e-05
7425,7.945110920676948e-05
3023,7.942282511188729e-05
7638,7.938622615379606e-05
PFE,7.932093012944286e-05
3248,7.875964787470058e-05
7995,7.875442426898394e-05
6919,7.856715573145269e-05
6789,7.856266861811142e-05
SO,7.851471536013266e-05
9824,7.848400673793968e-05
5352,7.846331181238815e-05
9503,7.82977977524802e-05
7751,7.815202285419382e-05
2975,7.814608585580809e-05
ED,7.807249973923818e-05
8058,7.805782053353671e-05
PSX,7.798227124954035e-05
2760,7.782167180309557e-05
CMRE,7.775482113438742e-05
3143,7.754006825814515e-05
WSR,7.735982144194896e-05
5019,7.717772216823938e-05
7327,7.703146025754094e-05
4966,7.699563362533486e-05
PNW,7.694005908104087e-05
DUK,7.689191684872371e-05
7723,7.685321689652395e-05
STAG,7.655087347276767e-05
7949,7.644010508059072e-05
PRPH,7.641840734646027e-05
3695,7.636726770735633e-05
5110,7.618116269308766e-05
3241,7.612701959582652e-05
NML,7.604642811020504e-05
6412,7.592357647156262e-05
8700,7.557076398383916e-05
BRX,7.556928621613695e-05
6291,7.530095161399663e-05
8903,7.528969476014047e-05
4725,7.528306693513071e-05
2216,7.5256843166511e-05
8747,7.521315954260982e-05
SKT,7.50879540401799e-05
5391,7.502448691947248e-05
7925,7.500891899274342e-05
UNM,7.491902768106582e-05
5280,7.48873549940194e-05
9986,7.486722799171573e-05
MPC,7.485818466349963e-05
9719,7.468578114070864e-05
6417,7.467391720533163e-05
1814,7.466790277104493e-05
3817,7.462772234395099e-05
8065,7.452782906427734e-05
6408,7.448824808466396e-05
1833,7.448631391598472e-05
1982,7.444783974838175e-05
7278,7.433793180566445e-05
3045,7.429393127936279e-05
6643,7.414191241667697e-05
9513,7.378900812326911e-05
5184,7.375104452470661e-05
5985,7.365373155281192e-05
6486,7.361325203574667e-05
7040,7.360037339592533e-05
6419,7.34784370876608e-05
3321,7.310286511110959e-05
1805,7.29122001422935e-05
3449,7.285988754620133e-05
EPRT,7.275967718323365e-05
9717,7.275167596769754e-05
4628,7.26769784114643e-05
3486,7.264326848999391e-05
9832,7.260127544763981e-05
1870,7.241247484292945e-05
2674,7.226084641302875e-05
8091,7.208103630241203e-05
8070,7.206062966225353e-05
2124,7.19102787065556e-05
8995,7.182732682573544e-05
7905,7.181848545806057e-05
7953,7.166651294493376e-05
3109,7.143132107284962e-05
ASX,7.140148457183608e-05
8020,7.125074116364781e-05
NWFL,7.124455053800646e-05
ETR,7.120866137946424e-05
7267,7.115600892454351e-05
7823,7.08895634473234e-05
8908,7.086998637236909e-05
APO,7.07923369749976e-05
CIX,7.074526883442612e-05
1815,7.070018475150446e-05
1928,7.065838372591243e-05
2003,7.059034804648073e-05
8016,7.054413683951103e-05
1888,7.04064220410582e-05
SNY,7.01034062138712e-05
ABEV,7.0074862127213e-05
HRB,7.005266243431918e-05
6915,6.994335368352977e-05
1515,6.978870209113884e-05
ADC,6.97604704063433e-05
9622,6.971831531840551e-05
FTAI,6.971092426379395e-05
1861,6.970786790253714e-05
4792,6.960932166286654e-05
K,6.93038690742651e-05
1878,6.920422433696274e-05
8014,6.909779916149343e-05
LSI,6.892587677657044e-05
AMND,6.891269301437323e-05
5288,6.87344921255131e-05
MLPO,6.869487989896683e-05
6379,6.866067205900737e-05
CUBE,6.858310882412689e-05
NI,6.850775830920377e-05
2307,6.815061967003195e-05
4208,6.812705597824509e-05
8074,6.805823485603937e-05
UAE,6.803470044481603e-05
8046,6.802027004047206e-05
7224,6.797091310161828e-05
6392,6.777392494682337e-05
9066,6.762729480024553e-05
7242,6.762277667328486e-05
7305,6.757393829395875e-05
7955,6.74442107796821e-05
4323,6.742099356243426e-05
9852,6.738914965032115e-05
4202,6.731939468964423e-05
6730,6.72780026090163e-05
3612,6.726994400621266e-05
8098,6.725026636387105e-05
8141,6.72236531479455e-05
5702,6.705625527981454e-05
7628,6.701957729596253e-05
4635,6.698495278205423e-05
8031,6.691574782212326e-05
5698,6.669350934329929e-05
NFG,6.667596234260236e-05
FRGAP,6.658884247609139e-05
8151,6.636206324297741e-05
AEP,6.629891988780794e-05
8914,6.629781332427523e-05
3246,6.627368898780947e-05
9934,6.622207079530713e-05
9412,6.602587201140444e-05
IPG,6.586331227419145e-05
9362,6.563426729244331e-05
9368,6.563185568844261e-05
MLPB,6.558009818614024e-05
7272,6.553463908473378e-05
NRG,6.551260365480227e-05
3315,6.54686653422431e-05
5401,6.542849282832319e-05
DDT,6.540763692833097e-05
6328,6.533520702139068e-05
3105,6.532177599925894e-05
8897,6.527104435441338e-05
1840,6.522693373119265e-05
4641,6.518427284698264e-05
CC,6.517341016408413e-05
9763,6.513439575223928e-05
9303,6.48106985744532e-05
POR,6.469175232330418e-05
4619,6.459621410653234e-05
1972,6.458535689516569e-05
3375,6.456212086567044e-05
5958,6.44802076408303e-05
9502,6.444193959291857e-05
NSS,6.423281968601022e-05
KRG,6.41819597558648e-05
2734,6.409481221735636e-05
SQM,6.40527983326929e-05
7208,6.403255238206579e-05
5290,6.396966126649977e-05
8871,6.393792323967729e-05
5602,6.390292430649437e-05
1775,6.387388861277035e-05
5101,6.383814285970145e-05
7718,6.382580327235664e-05
5715,6.380899790189767e-05
1827,6.372614981075222e-05
7561,6.37164488231593e-05
2169,6.368904680125918e-05
6060,6.361934359810319e-05
FLO,6.356957874166401e-05
4107,6.356299519189647e-05
7202,6.342496529543299e-05
1719,6.339082039288582e-05
6461,6.333256721266415e-05
8130,6.321041970543074e-05
5284,6.319971407976943e-05
6247,6.317406378874064e-05
7811,6.310437595990558e-05
8881,6.309032005208627e-05
5018,6.308953652300597e-05
6742,6.308178093954212e-05
9312,6.307834702607208e-05
7879,6.301262721605508e-05
4617,6.297549508470706e-05
4093,6.290804006743794e-05
3172,6.289984952534651e-05
6763,6.286302381513079e-05
9433,6.279121697740527e-05
7958,6.277668990641124e-05
7769,6.271515692548412e-05
6393,6.266711333024956e-05
COP,6.263126209720073e-05
7011,6.259577468103779e-05
4832,6.256171770983603e-05
7544,6.2511026625399e-05
FHI,6.245886528731202e-05
9880,6.233135270282336e-05
9436,6.233009594103498e-05
MCI,6.202293670338258e-05
KMB,6.198517158363625e-05
9384,6.196968589265119e-05
2117,6.19594855298099e-05
WRB,6.193750303252785e-05
7283,6.190751614682166e-05
9651,6.190513342739959e-05
6493,6.187376400351678e-05
6570,6.185796513936753e-05
SAMG,6.17644873891933e-05
GIS,6.17179148093616e-05
3238,6.155881433023021e-05
8923,6.154325947878747e-05
AEG,6.142675203558827e-05
MOV,6.14145666302531e-05
1925,6.133979596077393e-05
2715,6.116789162122365e-05
SRE,6.114347594964441e-05
7537,6.107039256266728e-05
AGNCN,6.105479594507668e-05
6490,6.104694711604457e-05
6871,6.104318442292788e-05
7607,6.0977047014801865e-05
4627,6.0927274088117946e-05
8007,6.090129730083423e-05
CAH,6.08258133923184e-05
4840,6.0750443170502905e-05
1812,6.074958393674238e-05
7871,6.0721564073979674e-05
3035,6.067175485374157e-05
9889,6.0593824022374173e-05
3423,6.05669104218648e-05
6292,6.055623446367158e-05
4828,6.041833932960217e-05
SXC,6.040140523707697e-05
6724,6.034756738813073e-05
4809,6.023649422257427e-05
8945,6.016959475140996e-05
MSM,6.016501843396101e-05
8061,6.015087691053676e-05
1969,6.0098071983909975e-05
5108,6.000762800164221e-05
9856,5.99433375279438e-05
AVB,5.993317805627018e-05
