Date,WILL5000PRFC,GDP,BuffetIndicator
2022-06-02,41617.8984375,25805.791,1.6127348484493267
2022-06-03,40945.390625,25805.791,1.586674503602699
2022-06-06,41073.3203125,25805.791,1.591631905896626
2022-06-07,41490.48828125,25805.791,1.6077975785067002
2022-06-08,41049.6796875,25805.791,1.5907158082269208
2022-06-09,40051.87109375,25805.791,1.552049735415977
2022-06-10,38860.5390625,25805.791,1.5058844374311176
2022-06-13,37236.6484375,25805.791,1.4429570648502887
2022-06-14,37116.66015625,25805.791,1.4383073999262412
2022-06-15,37692.23828125,25805.791,1.4606116232302275
2022-06-16,36357.76171875,25805.791,1.4088993326633545
2022-06-17,36527.66015625,25805.791,1.4154830656518143
2022-06-21,37387.19140625,25805.791,1.448790754224507
2022-06-22,37327.83984375,25805.791,1.44649082230225
2022-06-23,37752.87890625,25805.791,1.4629615076030802
2022-06-24,38930.578125,25805.791,1.5085985205801287
2022-06-27,38822.078125,25805.791,1.5043940379506289
2022-06-28,38025.96875,25805.791,1.4735440099472246
2022-06-29,37929.46875,25805.791,1.4698045392214483
2022-06-30,37564.23046875,25805.791,1.4556511935150525
2022-07-01,37997.76171875,26272.011,1.4463210189258067
2022-07-05,38167.73046875,26272.011,1.452790594094605
2022-07-06,38220.58984375,26272.011,1.4548025974772165
2022-07-07,38884.578125,26272.011,1.4800761968697411
2022-07-08,38850.4609375,26272.011,1.478777583394739
2022-07-11,38325.4609375,26272.011,1.4587943396301106
2022-07-12,37994.78125,26272.011,1.4462075723856846
2022-07-13,37848.03125,26272.011,1.4406217799619527
2022-07-14,37673.46875,26272.011,1.4339773514102139
2022-07-15,38411.30859375,26272.011,1.4620619865662359
2022-07-18,38146.359375,26272.011,1.4519771392833234
2022-07-19,39216.609375,26272.011,1.492714409072073
2022-07-20,39556.23828125,26272.011,1.5056418133065643
2022-07-21,39927.640625,26272.011,1.5197786201063939
2022-07-22,39472.44140625,26272.011,1.5024522259163946
2022-07-25,39524.76953125,26272.011,1.504444008159482
2022-07-26,39021.71875,26272.011,1.4852962245638524
2022-07-27,40058.5,26272.011,1.5247595625626071
2022-07-28,40557.76171875,26272.011,1.5437631218542807
2022-07-29,41119.578125,26272.011,1.5651477203248736
2022-08-01,41034.0703125,26272.011,1.5618930089706495
2022-08-02,40826.87890625,26272.011,1.5540066158715449
2022-08-03,41491.30078125,26272.011,1.5792967192823573
2022-08-04,41451.6796875,26272.011,1.5777886088544955
2022-08-05,41439.91015625,26272.011,1.5773406214031351
2022-08-08,41462.7890625,26272.011,1.5782114685663005
2022-08-09,41195.609375,26272.011,1.5680417222343581
2022-08-10,42155.078125,26272.011,1.604562289693012
2022-08-11,42126.421875,26272.011,1.6034715376375261
2022-08-12,42867.30859375,26272.011,1.6316721469761108
2022-08-15,43026.80859375,26272.011,1.6377432467484123
2022-08-16,43108.6484375,26272.011,1.640858343029013
2022-08-17,42704.8203125,26272.011,1.6254873032939885
2022-08-18,42814.7109375,26272.011,1.6296701054784122
2022-08-19,42177.2890625,26272.011,1.6054077117469234
2022-08-22,41273.171875,26272.011,1.5709940086048229
2022-08-23,41224.390625,26272.011,1.569137232205026
2022-08-24,41395.69921875,26272.011,1.5756578062771822
2022-08-25,42005.2890625,26272.011,1.5988608204564165
2022-08-26,40598.7890625,26272.011,1.5453247588279406
2022-08-29,40313.23828125,26272.011,1.5344557476490857
2022-08-30,39856.0,26272.011,1.517051739967679
2022-08-31,39560.859375,26272.011,1.505817707483451
2022-09-01,39571.890625,26272.011,1.506237593498267
2022-09-02,39180.41015625,26272.011,1.4913365465723198
2022-09-06,38999.140625,26272.011,1.484436826134094
2022-09-07,39743.921875,26272.011,1.5127856742675694
2022-09-08,40044.6796875,26272.011,1.5242335155652913
2022-09-09,40711.19921875,26272.011,1.5496034627402524
2022-09-12,41146.421875,26272.011,1.5661694826102197
2022-09-13,39392.16015625,26272.011,1.4993964548907202
2022-09-14,39545.25,26272.011,1.5052235628250918
2022-09-15,39122.859375,26272.011,1.4891459726855323
2022-09-16,38750.4609375,26272.011,1.4749712512490956
2022-09-19,39022.23046875,26272.011,1.485315702279129
2022-09-20,38558.48046875,26272.011,1.4676638369537072
2022-09-21,37914.98828125,26272.011,1.44317038696619
2022-09-22,37483.1484375,26272.011,1.426733128175837
2022-09-23,36787.19921875,26272.011,1.4002429893452009
2022-09-26,36408.33984375,26272.011,1.3858223431677918
2022-09-27,36354.7890625,26272.011,1.3837840225668299
2022-09-28,37138.3984375,26272.011,1.4136107981037311
2022-09-29,36323.91015625,26272.011,1.382608668832013
2022-09-30,35836.921875,26272.011,1.3640722773372773
2022-10-03,36744.58984375,26734.277,1.374437387768145
2022-10-04,37944.73046875,26734.277,1.4193288439687373
2022-10-05,37845.12890625,26734.277,1.415603231246912
2022-10-06,37492.23046875,26734.277,1.402403007522889
2022-10-07,36419.87109375,26734.277,1.3622912298600782
2022-10-10,36126.3203125,26734.277,1.3513109149164573
2022-10-11,35911.76171875,26734.277,1.34328531565488
2022-10-12,35809.6796875,26734.277,1.3394669205941123
2022-10-13,36672.73828125,26734.277,1.3717497683311204
2022-10-14,35778.62890625,26734.277,1.3383054610472542
2022-10-17,36766.9609375,26734.277,1.3752741821856638
2022-10-18,37213.6484375,26734.277,1.3919826011191552
2022-10-19,36882.5703125,26734.277,1.3795985697499882
2022-10-20,36589.8515625,26734.277,1.368649377071241
2022-10-21,37419.4296875,26734.277,1.3996798824034031
2022-10-24,37805.51171875,26734.277,1.4141213438743827
2022-10-25,38502.58984375,26734.277,1.4401956650538932
2022-10-26,38261.62109375,26734.277,1.4311821895819363
2022-10-27,38071.33984375,26734.277,1.4240646883306403
2022-10-28,38952.7109375,26734.277,1.4570325181227082
2022-10-31,38702.5,26734.277,1.4476733371169903
2022-11-01,38575.71875,26734.277,1.4429310637426254
2022-11-02,37563.921875,26734.277,1.4050846362892104
2022-11-03,37195.03125,26734.277,1.3912862221783668
2022-11-04,37635.44921875,26734.277,1.4077601282709087
2022-11-07,37959.37109375,26734.277,1.419876478939378
2022-11-08,38151.44140625,26734.277,1.4270609003658488
2022-11-09,37306.44140625,26734.277,1.3954535372791268
2022-11-10,39420.30859375,26734.277,1.47452308486779
2022-11-11,39835.62109375,26734.277,1.4900579167990966
