,Symbol,Rironkabuka
1194,8508,512
1195,8392,2368
1196,4343,3463
1197,3496,12834
1198,4894,547
1199,4362,3194
1200,7231,3173
1201,3010,106
1202,2874,1044
1203,4828,9830
1204,6777,12347
1205,9357,2687
1206,9743,1620
1207,9028,8637
1208,9928,3219
1209,4477,90
1210,7504,3099
1211,262A,2975
1212,3093,3848
1213,2226,4738
1214,319A,1151
1215,8163,694
1216,3458,2344
1217,9534,1780
1218,5445,20136
1219,8345,2784
1220,5184,9291
1221,6620,561
1222,7246,932
1223,6333,4187
1224,4417,8333
1225,3232,826
1226,4047,1114
1227,3198,1890
1228,2790,2400
1229,4221,5836
1230,8715,449
1231,8707,3892
1232,1786,408
1233,4820,578
1234,7803,686
1235,1888,4888
1236,9511,1080
1237,3431,1735
1238,6099,1500
1239,3679,921
1240,6419,9450
1241,4475,1229
1242,2908,2046
1243,7408,1670
1244,3245,4131
1245,9369,1815
1246,4931,3511
1247,4449,569
1248,7366,1637
1249,6630,398
1250,3540,1061
1251,8399,885
1252,5302,7166
1253,4719,4896
1254,8739,2881
1255,2288,3061
1256,7745,4698
1257,4971,4369
1258,6524,2984
1259,4323,2184
1260,4641,4815
1261,2986,13833
1262,4109,4410
1263,8929,2437
1264,5208,1720
1265,8387,1009
1266,9438,598
1267,6937,1648
1268,3252,4220
1269,3133,17
1270,3196,2152
1271,7874,1044
1272,7990,3352
1273,9052,2180
1274,6941,5942
1275,8706,1486
1276,4246,1228
1277,8344,1477
1278,2053,2366
1279,6905,1152
1280,9081,4405
1281,4337,960
1282,6644,1481
1283,2792,4190
1284,9467,2439
1285,6023,2076
1286,8157,4304
1287,6339,1242
1288,3983,3787
1289,7921,4794
1290,9274,1213
1291,3946,5509
1292,7071,1107
1293,6143,1300
1294,4165,498
1295,4078,5005
1296,6309,2072
1297,7840,1566
1298,2573,2930
1299,6240,549
1300,7352,329
1301,1929,1401
1302,9639,4886
1303,3932,3814
1304,7383,209
1305,6623,9535
1306,8052,4000
1307,3482,8426
1308,2594,1065
1309,4923,978
1310,6718,4724
1311,1938,3061
1312,6058,3035
1313,7384,1401
1314,1375,874
1315,4718,2948
1316,9632,5064
1317,1899,7848
1318,7095,6860
1319,3284,2323
1320,6078,605
1321,6331,4185
1322,2938,1919
1323,7522,1423
1324,9539,1819
1325,9470,1740
1326,6820,5135
1327,5949,1325
1328,4375,123
1329,2325,4321
1330,5992,2448
1331,3708,5958
1332,9381,3235
1333,1967,2310
1334,3176,3116
1335,5262,1900
1336,8844,2555
1337,2751,4488
1338,3561,1791
1339,5202,568
1340,7679,3391
1341,5304,4071
1342,7914,1714
1343,4218,2014
1344,2540,2767
1345,287A,1503
1346,1815,3401
1347,4714,269
1348,4051,4077
1349,8185,1420
1350,6834,4823
1351,6197,722
1352,7059,4671
1353,2910,1078
1354,8935,3633
1355,6062,1908
1356,2918,3654
1357,2268,3102
1358,3660,419
1359,4318,4052
1360,6289,1560
1361,1514,376
1362,6328,4767
1363,8362,1476
1364,147A,220
1365,9384,5996
