Symbol,Perf
EWW,12.344058779989433
FTF,12.340956256494604
BNO,12.330920829009186
SMLF,12.29463920835415
EEMO,12.292840505900543
HEWC,12.271806107472722
KBWY,12.271174655008656
EGP,12.234611403297205
BXP,12.224998524818647
NEAR,12.221802577431594
FTGC,12.219963883002968
DON,12.2169086628404
SACH,12.196395934045574
YXI,12.1667339964219
BFK,12.126204238285728
NMT,12.112609728700306
QWLD,12.1035084730959
VNLA,12.097219464856192
EVT,12.089365271054266
TWM,12.067108367222225
CEF,12.062005714326672
WIP,12.053028480079771
IJT,12.04386626429622
SMMD,12.037733703371247
GYLD,12.026575342856736
OXSQ,12.024865880755009
BSJO,12.024233044968923
CII,12.023850364155015
SMMU,12.004774143889122
DEI,11.998549891379856
STAG,11.996843574658813
CSM,11.988174853734332
EXR,11.98089250471145
TZA,11.969203713412146
SRTY,11.969203713412146
MNA,11.940026730075731
ADC,11.937664263867678
RINF,11.93053858552665
KYN,11.92517423101846
MMTM,11.92342797334197
CEM,11.916403433969988
EQRR,11.910659247454696
SPSM,11.903794634894988
SUI,11.891276317623282
VIOG,11.890685272583259
IDLV,11.889676129894236
DBEU,11.885118513330765
FYX,11.880949877080912
STPZ,11.868565406842189
TBF,11.839804958633472
VLUE,11.827467136141555
OCIO,11.825548544426429
QABA,11.812108939069189
LQDH,11.80683980535452
ONEO,11.795657382035369
VAMO,11.79225963454355
KRE,11.786938620918447
BUFF,11.786066970311346
FLQM,11.782190265421358
NXDT,11.759750392642102
DDWM,11.725240351618394
ETV,11.692082138112552
MMT,11.681844807278154
SMCP,11.670191248072548
GLU,11.661842409469878
IWC,11.660578547991868
SPXN,11.61059913045575
KSA,11.607814161317197
ILF,11.60695725631348
CTR,11.605016784480805
UDN,11.599339116906211
USL,11.597078087564556
DBP,11.584014426296543
MINT,11.571631086801997
MSB,11.568553404881644
ISCB,11.561372903949387
CSF,11.553728077255798
VIXY,11.545967330882522
SLYG,11.532430017714427
VB,11.526472740569242
NMFC,11.526263498017641
DGS,11.50204473056698
QLC,11.483056577246511
URE,11.471604536588023
REMX,11.470755488504317
EDZ,11.462333531903013
LXP,11.457691689863175
THD,11.448437087931351
WHLR,11.433776697422754
SIMS,11.430331461659211
HDAW,11.401560822502448
JLS,11.39950398299181
BSJN,11.395101654614509
FYC,11.370085411516962
STWD,11.354938228154749
LMBS,11.32397973377131
VMOT,11.31782766751337
SIZE,11.315928552249444
XAR,11.304304318430098
CSQ,11.294357286509598
SSG,11.289036635540677
GCC,11.286730853476454
IGHG,11.28644593550358
DXD,11.277548607301389
WTMF,11.273131765902068
BSCN,11.26025044899117
IBDO,11.26025044899117
FEZ,11.256910134569912
PSL,11.24127465814037
FLCA,11.211191608482
SDD,11.206940891260198
QLTA,11.206128511290906
PPA,11.187414644372177
PSCT,11.179093562891426
OMFL,11.174781591348337
HPP,11.161646999617387
VTWV,11.14475873458531
OIH,11.143684633108954
GLD,11.13181870588304
IAU,11.13181870588304
SGOL,11.13181870588304
OUNZ,11.13181870588304
BAR,11.13181870588304
TECS,11.105566946728612
SURE,11.102697070130567
SMOG,11.100343991253181
FTSD,11.098599342379414
CSML,11.062058707962445
PID,11.061322082001114
DFEN,11.059776438571062
EWS,11.057138835204851
SGDM,11.051160470826137
EEV,11.04349877127329
GRX,11.03725663738776
FYT,11.016064649571016
SUB,11.015039870465941
EPHE,11.00689735741788
IDV,11.005988000558
RAVI,10.993526375868045
FXP,10.980847364792888
MDYG,10.976937831080344
AGZD,10.975276839660946
VTEB,10.971251200961937
SPXS,10.930324823425288
HASI,10.926383246113618
CEW,10.907185695749552
SQLV,10.88501781365384
FID,10.878231236947101
ROOF,10.872273420620308
IWR,10.86838691420082
CSA,10.867654431492605
TILT,10.860791379874579
EPS,10.841928319588478
ACRE,10.805959190262977
SELF,10.805701835198667
QYLD,10.794105034121802
IRT,10.789890167882689
IBML,10.767720586897628
NAIL,10.767227978458788
BTT,10.760644724360048
DWAS,10.751251529790204
DBO,10.721468008407559
SPXU,10.698524039660015
ROSC,10.698074972898656
HQH,10.689321470264698
VIDI,10.67432549458934
XHS,10.670935404442615
FVAL,10.66008036701023
BGR,10.650628270569099
CWB,10.638495949909693
DTH,10.630128747644434
REK,10.615485513557518
TUR,10.613123968932575
GDL,10.612031772367686
PIM,10.61147841446098
LSST,10.596042396184743
IGN,10.58617933343059
RVT,10.584755297765824
CSB,10.573647373336428
SPMB,10.564187262975455
SCHM,10.556907260100399
PVL,10.553440944823299
CVY,10.540006752781682
SOXS,10.482768602938124
MAA,10.48266027194795
BDN,10.47635254054496
OUSM,10.476340027700749
UCO,10.466115691323141
XPH,10.46309197207351
JMM,10.45445332491697
FEMS,10.449813379157899
CTRE,10.446354383326485
ELS,10.438849976303409
ALTY,10.432746844374542
JPIB,10.427251136848078
IDE,10.422590311396007
SPHY,10.418931065155862
FFC,10.404260815589435
ISHG,10.375139603381552
HPI,10.373937259876703
MZZ,10.357495766504298
SRC,10.34852109507953
EPV,10.336685138591506
XSVM,10.334875365294225
USHY,10.313828552077094
SRS,10.311353164082123
AHH,10.310658604778329
REG,10.271448087299115
GNT,10.26845436422325
AJXA,10.264687245433898
QID,10.236668378957843
VO,10.23085866873212
FXF,10.211220094694768
FTXL,10.207164933661948
VPV,10.198606860329555
XSHQ,10.195428648730951
SILJ,10.184206530699555
JNK,10.177335134001309
UVXY,10.169082355704013
MRGR,10.16907532053269
SITC,10.164639194689379
RWM,10.161896539756203
SHM,10.150357390045261
IAF,10.147241760303729
FLEU,10.140358284780845
FXC,10.097310345081143
UDR,10.096416554585742
JPC,10.08064235010313
GOEX,10.031736424004714
SOR,10.02523422920113
SH,10.014233824291557
SPDN,10.014233824291557
FQAL,10.013195388820796
