Symbol,rr,pl
STNG,16.30000000000001,8.651054992014382
TDUP,5.700000000000005,8.647384023577711
BLU,12.40000000000001,8.642026095051412
VYGR,6.300000000000004,8.627778127293462
PDS,9.700000000000008,8.614313267601137
TUYA,3.0000000000000018,8.588758316710386
SCYX,5.300000000000004,8.583830985099254
NUVL,6.100000000000005,8.577991419388786
3989,14.800000000000011,8.402803126547226
AFRM,27.200000000000024,8.389904070357154
TMST,4.100000000000003,8.356643708459725
BNTX,3.7000000000000024,8.347317840214377
BTBT,8.500000000000007,8.341758219532895
UONEK,18.800000000000015,8.34080943278349
PBF,10.300000000000008,8.328416353900819
TNYA,6.800000000000005,8.296375414488695
DFLI,18.800000000000015,8.268279866188294
AR,14.800000000000011,8.2612583943274
BGFV,5.100000000000003,8.253590255923095
