symbol,maxBalance,signal,wrSl,profitPerDay,maxLimit,maxSlLimit,wr
NUVL,29.24428231630728,0,0.07633587786259542,0.05175979171027837,-1.03569,0.03,1.0
6338,28.87025859699041,0,0.36752136752136755,0.05356263190536254,-0.47578,71.0,1.0
VET,28.850970521573995,0,0.45021645021645024,0.05623970861905262,-0.3589,0.33,1.0
3358,28.01345009333131,0,0.3174061433447099,0.051400825859323505,-0.02947,5.0,0
VRTV,27.928558893415826,0,0.3010989010989011,0.04257402270337778,-1.08719,0.73,1.0
GPOR,27.55668142540588,0,0.15458015267175573,0.044953803304087894,-2.00557,0.07,1.0
GSAT,27.20274166310351,0,0.3816155988857939,0.05046890846586922,-0.2727,0.03,1.0
UCIB,26.54121324163744,0,0.49829351535836175,0.04064504324906193,-0.86836,0.06,1.0
CLMB,26.517325542938,0,0.18619246861924685,0.045719526798168965,-0.00583,0.03,1.0
HDSN,26.282388443541166,0,0.5132275132275133,0.040310411723222646,-1.40537,0.32,1.0
PDS,26.281941303466056,0,0.14682539682539683,0.045003324149770645,-0.87256,0.07,1.0
OII,26.069950230911733,0,0.4379746835443038,0.03974077779102398,-0.51917,0.25,1.0
BUR,26.051444450997067,0,0.5357142857142857,0.03971256776066626,-1.31871,0.12,1.0
FTI,25.967349735122472,0,0.36444444444444446,0.03958437459622328,-0.62094,0.09,1.0
7063,25.87637123741942,0,0.3130699088145897,0.05185645538561006,-0.3498,15.0,0.75
TGLS,25.321499742729497,0,0.289237668161435,0.0423436450547316,-0.0743,0.23,0
INTG,25.107272075860052,0,0.32456140350877194,0.05518081774914297,-0.19179,0.03,0
DIG,25.08158415167144,0,0.3743016759776536,0.04494907554062982,-0.30049,0.32,0.5
CHS,24.465970469708463,0,0.3930232558139535,0.037295686691628756,-1.47922,0.08,1.0
GOGL,24.248031557799685,0,0.5043103448275862,0.04400731680181431,-0.2287,0.2,0.6666666666666666
6561,24.201540184474382,0,0.30751708428246016,0.03897188435503121,-1.03092,15.0,0
SMCI,23.949155219535875,0,0.3630952380952381,0.037362176629541145,-0.70819,1.05,1.0
PXJ,23.853970838453446,0,0.2653061224489796,0.037040327388902866,-0.86166,0.06,1.0
CEIX,23.036347696172125,0,0.4022346368715084,0.03745747592873516,-1.32661,0.83,1.0
LWLG,22.76270052533276,0,0.2044334975369458,0.044028434284976325,-0.12735,0.1,0.3333333333333333
WEBS,22.76173894422359,0,0.21022727272727273,0.051265177802305384,-0.13021,0.16,1.0
ACLS,22.727194917772255,0,0.3771712158808933,0.035235961112825204,-0.75806,1.0,0
7047,22.5361080194148,0,0.40716612377850164,0.03588552232390892,-0.74635,27.0,0
