Symbol,Roe,Close
7110,162.5,1476
3765,162.2,2173.5
2932,162.2,4365
6125,162.1,5390
6890,161.7,2758
3904,161.7,741
4714,161.3,237
4645,160.8,500
3480,160.7,2374
6030,160.7,4730
6338,160.5,5400
2981,160.5,2516
6094,160.2,889
4686,160.1,2987
7076,159.8,895
4680,159.8,590
5344,159.4,28860
3924,159.2,749
3945,159.2,2381
4386,159.0,467
8890,159.0,3380
4975,158.8,3680
7185,158.7,2841
1662,158.3,5590
7134,158.2,633
7567,157.4,426
3073,157.3,1345
4732,157.1,2850.5
5019,157.1,4101
2497,156.8,863
8596,156.1,903
9684,155.8,5429
4726,155.6,2354
4216,155.5,4150
9928,155.2,1534
4235,155.1,1519
9445,155.0,363
2780,154.9,4280
6037,154.5,503
9275,154.4,1063
6239,154.0,877
6630,153.8,1045
4012,153.4,1381
2198,153.0,657
3374,152.7,2357
6237,152.5,1720
9715,152.4,3140
3712,152.4,3285
9536,152.3,1871
7081,152.2,2034
6417,152.0,6270
4528,151.9,2691.5
3045,151.8,1228
4687,151.7,1765
9534,151.4,2315
9733,151.3,1895
5803,151.1,1092
7343,151.0,1039
6101,151.0,1146
2477,150.9,2500
2429,150.8,2518
9232,150.7,1577
3375,150.7,1499
3984,150.5,1770
8117,150.1,3805
4827,149.9,667
5395,149.7,2500
8053,149.6,3253
6186,149.5,577
5105,149.5,2620
4936,149.4,954
7995,149.3,3800
7419,149.0,1382
4486,149.0,1005
7242,148.8,4460
4437,148.4,529
8015,148.4,8666
7481,147.9,1756
8869,147.2,1126
9221,147.2,750
7940,147.1,623
6197,147.1,603
2154,146.8,2065
9278,146.8,1046
9220,146.5,1068
9467,146.4,2058
8058,146.4,7183
5284,146.4,1556
8130,146.3,2765
3241,146.3,465
7003,146.2,480
4026,146.0,1283
7564,145.8,4245
2464,145.3,399
6183,145.3,1660
2498,145.3,2634
7362,145.2,1154
3347,144.9,258
3157,144.6,1200
5199,144.6,1873
8020,144.5,2035
2993,144.5,2085
3474,144.5,343
8056,144.4,4032
2303,144.2,1903
9213,144.2,1068
5702,144.1,1216
8934,143.9,1567
4074,143.5,1510
3143,143.2,1276
9049,143.1,4765
3457,143.0,1052
6670,142.9,1099
7508,142.9,1176
8061,142.9,2465
3671,142.8,751
4690,142.8,1995
4792,142.6,1694
3948,142.6,899
7377,142.2,1444
4403,142.0,6837
8850,141.9,2799
6856,141.9,9291
7718,141.8,1790
9432,141.7,172.2
6061,141.5,3925
4996,141.4,1117
