,Symbol,Atr
104,CSCO,0.9178578513009208
105,HD,7.301073346819196
106,CVS,1.7638319214496367
107,QCOM,5.008212498256138
108,USB,1.1025003705705916
109,AMD,5.364281790597098
110,NVS,1.6378566196986608
111,TGT,2.8917879377092635
112,ORCL,2.962144034249442
113,WDAY,5.274287632533482
114,XOM,2.048571995326451
115,TSLA,10.371431623186384
116,GOOGL,3.8956473214285716
117,FDX,4.917140415736607
118,CSX,0.7392861502511161
119,MS,2.490981315888843
120,TXN,4.622229080030662
121,CVX,2.303574698311942
122,APD,4.826108660016741
123,FCX,1.122500010899135
124,ECL,4.794463021414621
125,MMM,3.3767847333635603
126,MCD,6.026360648018973
127,AFL,1.8312361580984933
128,ADSK,4.486166817801339
129,NOW,21.31357683454241
130,CARR,1.752225096546758
131,EMR,1.6121422903878349
132,TMO,11.949175153459821
133,GE,4.656428745814732
134,BX,4.602013639005514
135,GOOG,3.9165725708007812
136,TTD,2.8170716421944753
137,AVGO,5.202141898018973
138,NVDA,4.25
139,PG,1.9880804208922578
140,WMB,0.8217857905796596
141,GM,1.5815140860421317
142,ABBV,3.7585721697126115
143,WFC,1.1635723114013672
144,MA,8.168210710797991
145,FTNT,1.6592870439801897
146,SLB,0.968214579990932
147,SPG,3.037142072405134
148,COF,4.3892822265625
149,TRV,6.252500261579241
150,TFC,0.9655358450753349
151,DLR,4.728572300502232
152,OKE,1.734230917301682
153,HLT,3.470001220703125
154,PCAR,2.4178570338657925
155,BK,1.0520818948209154
156,DHI,6.641431535993304
157,MET,1.5953576224190849
158,O,1.0495789726228695
159,NSC,5.768440583299423
160,RCL,5.261063711983817
161,MNST,0.9896430969238281
162,AEP,1.609485081263951
163,FANG,3.9149998256138394
164,FIS,1.5964295523507255
165,APP,6.198856898716518
166,PSX,2.6939288548060825
167,AIG,1.3264269147600447
168,PAYX,1.9942855834960938
169,CPRT,0.8710719517299107
170,NEM,1.841428484235491
171,COIN,13.368570600237165
172,D,1.4567857469831194
173,SRE,1.5589283534458704
174,MPC,3.237137930733817
175,CPNG,0.5667144230433873
176,CVNA,10.820144653320312
177,LEN,5.31885746547154
178,ROST,2.352142333984375
179,CCI,2.320714133126395
180,COR,3.5750013078962053
181,FAST,1.2297961290403054
182,MPLX,0.593571526663644
183,KDP,0.7149998801095145
184,TEL,3.262322562081473
185,MSTR,17.62071337018694
186,KMB,2.2410736083984375
187,ALL,3.681427001953125
188,SQ,1.8328508649553572
189,DDOG,3.712857927594866
190,OXY,0.827500479561942
191,ODFL,5.379285539899554
192,STZ,3.7635705130440846
193,EA,2.851424080984933
