symbol,maxBalance,signal,wrSl,profitPerDay,maxLimit,maxSlLimit,wr
IBUY,1.3307255546506538,0,0.5625,0.04752591266609478,-1.883,0.69,0.5
MDXH,1.330722117888802,0,0.6363636363636364,0.049286004366251926,-1.8955,0.25,0.6666666666666666
DWM,1.3306159579014831,0,0.68,0.009176661778630918,-0.78061,0.9,0.75
TD,1.3303825248094845,0,0.6666666666666666,0.009175051895237825,-0.78061,1.94,1.0
FEX,1.330247976111255,0,0.336734693877551,0.009174123973181068,-0.78061,0.24,0.75
EWL,1.3300585378899787,0,0.3918918918918919,0.009172817502689508,-0.78061,0.23,0.75
GNOM,1.3300186186870946,0,0.47058823529411764,0.04750066495311052,-1.883,0.08,1.0
GSEW,1.3299367941491322,0,0.4666666666666667,0.00917197789068367,-0.78061,0.45,0.75
CWI,1.3298912313994513,0,0.4666666666666667,0.009171663664823802,-0.78061,0.14,0.75
5034,1.3298277256331859,0,1.0,0.04925287872715503,-0.76572,165.0,1.0
HUT,1.3294946436002875,0,0.75,0.0492405423555662,-1.88959,0.66,1.0
SMG,1.3294514302733702,0,0.38095238095238093,0.047480408224048934,-1.883,0.45,1.0
ASGI,1.3294379773481253,0,0.5,0.008982689036135982,-0.77758,0.31,0.8
MEG,1.3293751829851226,0,0.5,0.047477685106611524,-1.883,0.73,1.0
HCDIP,1.329031905516963,0,1.0,0.06994904765878752,-1.99847,0.4,1.0
SVAL,1.3288603996170925,0,0.21367521367521367,0.00916455448011788,-0.78061,0.04,0.75
ASTE,1.3287626581594532,0,0.6923076923076923,0.04745580921998047,-1.883,0.73,1.0
XSEP,1.328595538895351,0,0.6666666666666666,0.005558977150189753,0.96314,0.62,1.0
MRDB,1.3285902705653516,0,0.5,0.016007111693558455,-0.96009,0.04,0.25
CM,1.3285484898156117,0,0.4230769230769231,0.009226031179275082,-0.78232,0.35,0.6
WPS,1.3283374515402218,0,0.358695652173913,0.009160947941656701,-0.78061,0.05,0.75
PEGA,1.3281389376464483,0,0.47058823529411764,0.047433533487373156,-1.883,1.06,1.0
BRZE,1.3279163773517113,0,0.75,0.1659895471689639,-2.09591,1.61,1.0
FNDF,1.3274832011443374,0,0.7037037037037037,0.009155056559616119,-0.78061,0.54,0.75
7282,1.3274491659520429,0,0.7272727272727273,0.023704449392000764,-1.13852,32.0,0.75
STK,1.3274398061253658,0,0.5588235294117647,0.020422150863467166,-1.12037,0.4,1.0
GMET,1.3274355406608063,0,1.0,0.047408412166457366,-1.883,0.64,1.0
7004,1.3273961441462585,0,0.7692307692307693,0.0228861404163148,-1.13252,10.0,1.0
THW,1.327211072513813,0,0.31683168316831684,0.009281196311285406,-0.78381,0.06,0.75
HSDT,1.3271873340233546,0,0.21428571428571427,0.07373262966796415,-1.99997,1.75,0.5
GPN,1.3271501314415926,0,0.7857142857142857,0.047398218980056875,-1.883,0.98,0.5
QEFA,1.3270262989468677,0,0.27184466019417475,0.009151905509978398,-0.78061,0.07,0.75
ORGO,1.3269334737177374,0,0.5,0.04739048120420491,-1.883,0.62,1.0
IHDG,1.3268918170023434,0,0.5806451612903226,0.009545984294980887,-0.81394,0.6,0.8
IWR,1.3268851459327158,0,0.2857142857142857,0.009150932040915282,-0.78061,0.23,0.75
VXUS,1.326812801019942,0,0.43373493975903615,0.009150433110482359,-0.78061,0.23,0.75
OPAL,1.326773932531778,0,1.0,0.020411906654335045,-1.08238,1.42,1.0
TSQ,1.3267614065000963,0,0.5384615384615384,0.009150078665517905,-0.78061,1.08,0.75
SCD,1.326592768161381,0,0.4788732394366197,0.009148915642492282,-0.78061,0.16,0.75
6383,1.3261922820813603,0,0.8,0.0697995937937558,-1.97073,160.0,1.0
CATX,1.3261648814434783,0,1.0,0.047363031480124225,-1.883,1.48,1.0
HOFV,1.3258251439162299,0,1.0,0.1473139048795811,-2.07548,1.32,1.0
DFAI,1.3254995046206222,0,0.5294117647058824,0.009141375893935325,-0.78061,0.66,0.75
3539,1.3254233628162266,0,0.45263157894736844,0.008895458810847159,-0.73936,11.0,0.6153846153846154
IIPR,1.3252488831640803,0,0.3888888888888889,0.04733031725586001,-1.883,0.96,1.0
EWJV,1.3252192824546207,0,0.3516483516483517,0.009139443327273247,-0.78061,0.04,0.75
OCCI,1.3252190972149305,0,0.375,0.010517611882658179,-0.86384,0.57,0.6666666666666666
GKOS,1.3251118373312691,0,0.3125,0.0631005636824414,-1.97073,0.05,1.0
HFXI,1.3249475548242078,0,0.5333333333333333,0.009137569343615226,-0.78061,0.33,0.75
TECL,1.3247212715768284,0,0.6153846153846154,0.04731147398488673,-1.883,1.89,0.5
EFA,1.3246944423872382,0,0.64,0.009135823740601642,-0.78061,1.52,0.75
FGDL,1.3246321706438222,0,0.5925925925925926,0.013943496533092865,-0.22754,0.1,1.0
6545,1.324514512691669,0,0.5454545454545454,0.02171335266707654,-1.11194,11.0,0.75
BBDO,1.3244268386616675,0,0.75,0.04730095852363098,-1.883,0.13,0.5
ALTG,1.3243643637467595,0,0.5714285714285714,0.04272143108860514,-1.82067,0.45,1.0
AVAV,1.324221472465744,0,0.5294117647058824,0.04566280939537048,-1.88032,1.44,1.0
MSFU,1.3241948525548304,0,0.5625,0.04904425379832705,-0.8014,0.18,1.0
BITF,1.3241567046652865,0,0.5294117647058824,0.04729131088090309,-1.883,0.09,1.0
CURO,1.3240599767605885,0,0.875,0.06305047508383754,-1.97073,0.27,1.0
HLN,1.3239016196090487,0,0.875,0.04903339331885365,-0.78061,0.13,1.0
SCHC,1.3237731406445066,0,0.6470588235294118,0.009129469935479355,-0.78061,0.65,0.75
4375,1.3237529073360383,0,0.5454545454545454,0.07786781807859049,-1.99847,26.0,0.6666666666666666
PRQR,1.3234869162330274,0,0.6666666666666666,0.06617434581165137,-1.97471,0.04,0.6666666666666666
NERD,1.3233912251177051,0,0.6428571428571429,0.04726397232563233,-1.883,0.2,1.0
FV,1.3233461756388043,0,0.45588235294117646,0.009126525349233134,-0.78061,0.5,0.75
LTRN,1.323342668859389,0,0.75,0.06015193949360859,-1.9672,0.54,1.0
3993,1.323206542666159,0,0.625,0.0735114745925644,-1.9848,64.0,0.6666666666666666
ALLK,1.323074019722691,0,0.4444444444444444,0.04562324205940314,-1.88032,0.08,0.6666666666666666
BEDU,1.3229236133269302,0,0.5,0.03307309033317325,-1.77452,0.49,0.6666666666666666
NTRS,1.3228745763964642,0,0.08270676691729323,0.00912327294066527,-0.78061,0.03,0.75
GWX,1.3228473385452788,0,0.5833333333333334,0.009123085093415716,-0.78061,0.71,0.75
VRME,1.322574646178619,0,0.375,0.04723480879209353,-1.883,0.06,0.5
SRC,1.3223110555662776,0,0.475,0.00911938659011226,-0.78061,0.41,0.75
4026,1.322083817466333,0,1.0,0.06958335881401752,-1.97073,170.0,1.0
9514,1.3220509299196805,0,0.8888888888888888,0.07776770175998121,-1.99847,10.0,1.0
JPIN,1.3219618174551284,0,0.46987951807228917,0.00911697805141468,-0.78061,0.16,0.75
OCG,1.3219098520505432,0,0.8571428571428571,0.06294808819288301,-1.97073,1.11,0.5
AMK,1.3218635840299258,0,0.13513513513513514,0.010490980825634332,-0.86384,0.03,0.6666666666666666
AYX,1.3214203773226796,0,0.5625,0.045566219907678604,-1.87268,1.19,1.0
NVRO,1.3213236811167763,0,0.5833333333333334,0.0471901314684563,-1.883,1.45,0.5
YSEP,1.3212974062025913,0,0.5128205128205128,0.011103339547920935,-0.78381,0.07,0.6666666666666666
CAG,1.3212592148018958,0,0.5294117647058824,0.010919497642990874,-0.88439,1.03,1.0
IMUX,1.3207723405406047,0,0.625,0.06603861702703023,-1.9848,0.39,0.6666666666666666
TBLA,1.3207497280198794,0,0.29411764705882354,0.06951314357999365,-1.99847,0.03,1.0
2462,1.3203478310776435,0,0.5882352941176471,0.032203605636040085,-1.71008,32.0,1.0
STRR,1.3203076837838013,0,0.6666666666666666,0.07766515786963536,-2.00037,0.19,1.0
3922,1.319949833147701,0,1.0,0.04399832777159004,-1.79351,163.0,1.0
GSIE,1.3198834253361562,0,0.6666666666666666,0.009102644312663147,-0.78061,0.61,0.75
MD,1.3197471448813147,0,0.5365853658536586,0.010729651584400932,-0.86949,0.77,0.5
ARVL,1.3196264672114149,0,0.21739130434782608,0.04712951668612196,-1.883,1.5,0.5
7105,1.3195190454546906,0,0.7777777777777778,0.052780761818187624,-1.883,17.0,1.0
1964,1.3194922689376685,0,0.5,0.02163102080225686,-1.11194,18.0,0.5
QVCD,1.319140455403165,0,0.3888888888888889,0.047112159121541604,-1.883,0.07,0.5
4665,1.319081585303437,0,0.46808510638297873,0.008142478921626154,-0.70988,13.0,0.6923076923076923
LGMK,1.3190750649207252,0,0.6666666666666666,0.1465638961023028,-2.08795,1.2,0.5
2127,1.3187765522350066,0,0.6666666666666666,0.07326536401305592,-1.99371,174.0,0.6666666666666666
