Symbol,Sharpe,Length
7425,1.285162713620962,537
MVO,1.282714772358107,553
9107,1.2796708052192625,537
7130,1.2786813933907895,406
3132,1.2757772672950478,537
9268,1.2731269017076257,537
KOF,1.2718663520906923,553
9769,1.2714184833364128,537
7849,1.2713705885605038,537
2395,1.266505300776553,537
9986,1.266256690743444,537
8890,1.2599864232778868,537
5310,1.2594023921702435,537
IRRX,1.2495772065816924,352
BTU,1.2385298611900972,553
HSY,1.2384485000796492,553
8766,1.237805864508861,537
9101,1.2292367293718063,537
4351,1.2286319857824637,537
6236,1.2250771703002272,537
8007,1.2216869844740366,537
4413,1.2181596770509127,366
3093,1.2180451111402826,537
7550,1.2156270108271883,537
2760,1.2153593986998967,537
8058,1.2136429951404766,537
6490,1.2097189757992985,537
4417,1.2065645757827796,352
CAAP,1.2044736416013178,553
ORLY,1.1981676532558667,553
4323,1.196121757088996,537
9967,1.1945338692571377,537
MUSA,1.194517199703768,553
7809,1.1857783174049066,537
4527,1.1805588814191157,537
HNRG,1.180484960674607,553
8031,1.17922843465101,537
TGLS,1.1775878177685073,553
SD,1.1762801824366822,553
5284,1.1683467128699991,537
2914,1.1672967374646521,537
2726,1.1633693579072537,537
8053,1.157111484089921,537
RCMT,1.1402366545138103,553
ALSA,1.13777357704576,340
9827,1.1358358810210856,537
3936,1.1299361666624852,537
DDS,1.1275524430873676,553
3774,1.1248188593516224,537
3041,1.122403220935418,537
AZO,1.120701494382468,553
OBE,1.1186188246620512,553
7420,1.1184697691360483,537
6772,1.1183506388434235,537
VOC,1.1164271957173362,553
MPC,1.1143639205886617,553
NRT,1.114109110869253,553
NVDA,1.1140228507916694,553
ERF,1.1132251535966267,553
7972,1.112559008245234,537
9810,1.1093324191178222,537
7537,1.107638374627799,537
AMPH,1.1074106228254048,553
4828,1.107008910371748,537
BTE,1.1066905010227823,553
6919,1.106683435720695,537
ACGL,1.1065566342526556,553
9368,1.1063652317920372,537
PAM,1.1044866460087848,553
6417,1.1020161575982754,537
CEPU,1.1003001240539911,553
3561,1.0972221836464655,537
7814,1.0963804878462022,537
CITE,1.0957214833311257,315
6061,1.0946195440013156,537
BLDR,1.090788674881043,553
XOM,1.0871278171536987,553
ANET,1.0870247539990068,553
TRMD,1.086141330210816,553
2768,1.08348679085124,537
CHRD,1.0834630584600051,553
7762,1.0816227174926816,537
VAL,1.0763437160495155,522
5726,1.0754267462178115,537
RRC,1.0749128406404305,553
CNGL,1.074744275728552,339
DMLP,1.0673355977370333,553
8154,1.0665904589609545,537
8137,1.0647090708694558,537
9888,1.063838835985803,537
TGS,1.063810475945699,553
SJT,1.062876513354939,553
TRGP,1.0574690091708379,553
6380,1.0566746059868661,537
GLOP,1.0543406031291882,553
2163,1.050511435470128,537
6627,1.0493853003779,537
WINA,1.046989446960999,553
1514,1.0465435841755533,537
7173,1.0456731044346912,537
9628,1.0454588372276166,537
7901,1.0358793901193393,537
7525,1.0347649443966098,537
5285,1.0347270855898858,537
BHRB,1.032728501185858,553
UONEK,1.0280974063710544,553
STNG,1.0267635240444233,553
9279,1.0257935351055425,537
