,xt_va_z
195,0.2480052957264225
196,0.22464503128902927
197,0.19381616594090514
198,0.16475865095678427
199,0.147465708647418
200,0.14338529705993155
201,0.14630863986026726
202,0.15059392597637317
203,0.15005334343552135
204,0.1484475421330335
205,0.14896059571702197
206,0.1450873429222434
207,0.1298524367676241
208,0.09914825982250541
209,0.0058313274302095154
210,-0.13502747322444308
211,-0.2797179246949826
212,-0.3762882122564696
213,-0.37888661775665894
214,-0.3018439021478466
215,-0.18825948620735844
216,-0.08480688250326426
217,-0.024794814490994434
218,-0.014795573012496122
219,-0.043829495401753
220,-0.09400878664283013
221,-0.14729504996128212
222,-0.19156857032002533
223,-0.22198080192385333
224,-0.23979570990863866
225,-0.24847886513831882
226,-0.2514222086803629
227,-0.24710080153238106
228,-0.2853284595929105
229,-0.32891736384639875
230,-0.3508950286735443
231,-0.3360879174611902
232,-0.27478976897327057
233,-0.21100369225747082
234,-0.16946971951458542
235,-0.157755961233216
236,-0.17263500469086712
237,-0.19871079777352324
238,-0.2235272263844504
239,-0.23946373667256582
240,-0.24209084827952151
241,-0.23367409022982502
242,-0.22126895836742425
243,-0.2157384334611716
244,-0.22471034023582473
245,-0.25134701688050676
246,-0.29395440468437384
247,-0.34813634249057646
248,-0.41091796520334445
249,-0.477426994361399
250,-0.54021650337352
251,-0.5910444364234593
252,-0.6268356675744251
253,-0.652148338070362
254,-0.671769206871805
255,-0.6372911621649326
256,-0.556212122320592
257,-0.4670895089041456
258,-0.4283214620643241
259,-0.4975708942759455
260,-0.662834028919679
261,-0.876137080037655
262,-1.0774945099988147
263,-1.2294333544829652
264,-1.3286587202521556
265,-1.3906772882201999
266,-1.4339492421906825
267,-1.46645057241972
268,-1.4875743265072
269,-1.4964240610384312
270,-1.494378828820691
271,-1.4905983476639197
272,-1.4946095153041732
273,-1.5115247582931528
274,-1.5410170395924507
275,-1.571337500899851
276,-1.5918109797913054
277,-1.5933104874375246
278,-1.5732309392366446
279,-1.5417281689245272
280,-1.5076182168747245
281,-1.481040536002291
282,-1.471785391957851
283,-1.482747487579831
284,-1.5148245163390708
285,-1.558412023894412
286,-1.6003528817570953
287,-1.6294943948219853
288,-1.635318895972287
289,-1.6205115449112335
290,-1.5906779397201525
291,-1.5563467771899524
292,-1.5275363206334607
293,-1.505843706562992
294,-1.4859204970678435
295,-1.4604916404337502
296,-1.429326150745186
297,-1.3978648558675304
298,-1.3702439738676615
299,-1.3473887776891407
300,-1.3281907849581711
301,-1.3100987703094913
302,-1.2942192354017368
303,-1.2809180271993357
304,-1.2681970541322953
305,-1.255245314736794
306,-1.2423863299754603
307,-1.2280735436523362
308,-1.2134854094569885
309,-1.2011857062747757
310,-1.1897356094901343
311,-1.1783680564677197
312,-1.1637135896782245
313,-1.144297623477533
314,-1.1218489153686706
315,-1.098420904446904
316,-1.0749564179825746
317,-1.051022260129034
318,-1.0251903725528086
