Symbol,Balabce,Period
IMVT,4.283582069825023,144
PBTS,4.281249670932703,43
IMTE,4.241206128084536,5
GFAI,4.23217949743887,8
NRSN,4.22794113199913,2
APLD,4.201877618966387,192
RHE,4.156327327039162,5
7078,4.0865842055185535,2
INZY,4.082191700290218,35
GLYC,4.079365004277343,25
CXAI,4.065454656427557,2
BELFB,4.064111368953921,210
LMB,4.048739651230873,71
RPHM,4.033175664444929,22
CEI,4.024390243902439,4
ELF,4.023192827779548,72
VS,4.020880125459028,24
APPH,4.010067184233652,8
6526,4.006622516556291,53
ASC,4.005333455403646,86
ELOX,4.0044445461697045,2
TRVI,3.976435888139905,24
SNTI,3.952380997433594,2
PIII,3.947368614739155,25
2304,3.9397590361445785,120
KAVL,3.9368768987841842,4
ENSC,3.9202897842963846,2
2872,3.9009289399961657,128
BELFA,3.8896276694399945,220
6249,3.8701684836471753,47
INDO,3.8670989165827114,20
VIGL,3.8516128863553964,36
GOTU,3.8511326715181546,23
FNGU,3.847861010169678,68
STIX,3.8365386114318043,28
HOLO,3.8223237350753494,3
VATE,3.81249988358468,37
7776,3.801470588235294,22
RVPH,3.799999952316284,42
TCRT,3.7962960571418667,40
LUNR,3.7950000762939453,3
ISPC,3.775257696078147,2
QBTS,3.77510042275612,11
BTB,3.7604789005753645,17
TRMD,3.7428924741069767,136
CRKN,3.7290322878358264,3
2983,3.720833333333333,45
IPDN,3.7109375829459186,12
PETZ,3.6933334350585936,13
BCAN,3.6560975901928785,23
MHUA,3.652018969284212,12
CELZ,3.638778068404283,11
TMDX,3.6369100000555794,108
MLTX,3.6272600439711504,151
4777,3.618556701030928,16
4264,3.5968586387434556,232
PRQR,3.5825545684236872,12
6338,3.5704074338813436,179
RXDX,3.5641113068638024,320
SLNO,3.559701389633329,85
RSLS,3.5580524344569286,19
SMMT,3.5558408689087244,2
INOD,3.553571414633267,109
FULC,3.5531914070646597,5
NERV,3.5421053176441357,25
ANVS,3.540896086971962,10
VIST,3.533923059443376,257
YPF,3.5315535424488087,178
4169,3.517316017316017,25
TDW,3.51453941190033,184
TH,3.509333292643229,138
GETY,3.4952075074376947,3
PLRX,3.49504929740644,16
STNG,3.4790997971799005,140
3093,3.4782608695652173,128
7095,3.4714038128249567,104
IHT,3.470852042699334,11
ARBK,3.469387926619712,13
GRNQ,3.4493668741989683,6
4448,3.4428969359331476,124
ASAN,3.436770182176937,38
ADXN,3.4290539615340623,9
BYSI,3.4285715907609395,17
6016,3.426371511068335,227
EVAX,3.42500003856771,76
SISI,3.4197530528064037,4
AMTX,3.396825462902605,6
APCX,3.3956042034242278,19
6819,3.39,153
QRTEB,3.3890162030798225,2
CIFR,3.3888889256818806,72
TNXP,3.375,5
7089,3.368155619596542,48
LEJU,3.3672603572294872,3
RELI,3.3613861728929115,5
SDA,3.3598672510702543,3
7066,3.355813953488372,4
9219,3.343963553530752,80
CRVS,3.3421052549024037,25
ICVX,3.341216289143739,21
3773,3.3360258481421647,158
LTRPB,3.33474557949736,5
VVOS,3.333333421636513,2
ABVC,3.326612877641087,2
RCMT,3.3157894659143365,35
2652,3.3116666666666665,210
IVDA,3.307692575736874,27
ANY,3.30456859611034,37
TAST,3.284810073577028,45
8040,3.283410138248848,21
GRI,3.275861941393151,2
CJJD,3.2666666329509075,4
PLSE,3.265625063058301,144
ATTO,3.26373620111576,2
MSC,3.2566372409611137,83
AMEH,3.2500919827453347,19
BBIG,3.2500002803802674,5
AUVI,3.2388223027084972,4
3133,3.238095238095238,159
GWAV,3.238095079509945,9
XPON,3.232876484155616,46
BLIN,3.2326530294485867,5
POCI,3.2307692495793745,173
TGTX,3.220828199755407,244
NGL,3.2153846012770066,92
GRTX,3.201438744648982,7
ENSV,3.200000047683716,9
GRIL,3.1999998807907124,130
KOLD,3.195891976024741,104
NNOX,3.189054539493542,27
YSG,3.177777745399945,7
DMTK,3.174418574026819,7
BWEN,3.155172264958676,5
XYF,3.151999918619792,18
INBS,3.1365313211626664,2
BVS,3.1336633581564057,15
PTGX,3.1204953521802143,55
MGAM,3.1174089063941004,2
7859,3.1165644171779143,247
SLQT,3.10958893372029,24
IMPP,3.1067961548591807,11
NWTN,3.0980393110170423,2
IFRX,3.0937500989530258,2
PTPI,3.093406567134773,2
