Symbol,days,rr
WTI,12,29.999999999999936
ENLC,37,29.999999999999936
ASAN,30,29.999999999999936
LITB,18,17.299999999999983
SPRO,11,29.999999999999936
BCLI,2,29.999999999999936
DPRO,81,29.999999999999936
MGLD,26,26.49999999999995
7373,6,18.49999999999998
RNA,96,29.999999999999936
CVI,17,21.199999999999967
CHRD,7,29.999999999999936
PBYI,42,27.299999999999947
4074,3,12.399999999999999
GTX,16,28.499999999999943
AMLX,10,29.399999999999938
PPSI,3,27.099999999999945
RVNC,20,25.49999999999995
TMDX,34,28.099999999999945
BITF,2,29.999999999999936
AQMS,50,29.999999999999936
PTSI,71,29.999999999999936
FNA,6,23.09999999999996
ARRY,25,27.099999999999945
TDW,20,26.09999999999995
BIVI,10,23.999999999999957
TRVI,84,26.09999999999995
3691,49,29.999999999999936
7886,37,12.799999999999997
4334,6,29.999999999999936
PLAG,96,28.99999999999994
PRTC,64,29.999999999999936
TALO,99,29.999999999999936
9556,23,12.2
3900,32,29.999999999999936
DDL,65,29.999999999999936
IH,22,29.999999999999936
XPRO,23,24.399999999999956
BLU,81,24.799999999999955
IMCR,100,29.999999999999936
APA,14,25.399999999999952
YPF,28,17.09999999999998
6614,9,22.899999999999963
7610,33,29.999999999999936
2395,6,29.999999999999936
ACLX,72,29.69999999999994
WIRE,5,29.999999999999936
7072,99,29.999999999999936
GEHI,2,29.999999999999936
KROS,40,28.59999999999994
OII,14,29.999999999999936
RVMD,9,23.69999999999996
DSX,45,26.89999999999995
CSIQ,27,29.999999999999936
GMDA,7,12.2
4722,2,29.999999999999936
CANG,70,29.999999999999936
AA,82,28.89999999999994
TOMZ,2,21.999999999999964
NBR,100,29.999999999999936
MOGU,41,14.299999999999992
8202,6,12.2
TECK,3,18.09999999999998
DHX,75,29.999999999999936
VAL,14,29.999999999999936
INAB,54,16.799999999999983
EPOW,99,27.499999999999943
8894,56,29.999999999999936
FANG,14,29.999999999999936
4264,2,29.999999999999936
LIND,7,29.999999999999936
6067,2,29.999999999999936
IFRX,3,29.099999999999937
OTMO,11,22.499999999999964
LI,45,23.799999999999958
TPIC,28,29.999999999999936
6890,53,23.69999999999996
ATXS,99,22.899999999999963
MTC,27,18.599999999999977
BNR,18,29.999999999999936
EPM,20,29.999999999999936
GTE,100,29.999999999999936
EDN,41,23.899999999999956
MNDY,4,25.99999999999995
INBX,5,29.999999999999936
GRTX,37,28.499999999999943
MRO,96,29.999999999999936
MEDS,97,26.49999999999995
1605,35,17.49999999999998
RRC,20,25.299999999999955
OLK,76,25.399999999999952
RETA,5,21.699999999999967
XLO,35,16.69999999999998
REPX,19,26.49999999999995
OIG,2,23.09999999999996
STSS,56,29.999999999999936
9704,19,29.999999999999936
ALPN,77,29.599999999999937
JILL,18,12.799999999999997
9941,2,21.999999999999964
NGL,4,29.599999999999937
JAKK,81,28.199999999999942
AVNW,9,29.999999999999936
VTYX,100,29.999999999999936
ASC,97,29.999999999999936
ELVN,100,16.199999999999985
2345,16,29.999999999999936
ECOR,24,16.499999999999986
MFIN,37,29.999999999999936
ARBK,47,29.999999999999936
GMS,61,23.39999999999996
JXN,10,29.999999999999936
BRTX,58,29.999999999999936
AMAM,33,29.999999999999936
OMQS,69,27.299999999999947
LUNR,67,19.99999999999997
XOMA,37,15.499999999999988
GENI,33,16.799999999999983
2370,57,13.999999999999993
CVE,20,14.199999999999992
GNK,6,24.999999999999954
BRY,15,29.999999999999936
BRDS,21,29.999999999999936
INSE,28,28.99999999999994
VCYT,99,29.999999999999936
3841,8,29.999999999999936
JFBR,12,16.999999999999982
6086,2,29.999999999999936
AUPH,2,28.69999999999994
MLTX,8,22.199999999999964
CCRN,20,29.999999999999936
7047,2,25.09999999999995
MSC,4,14.59999999999999
VYNE,2,29.999999999999936
INMB,95,29.999999999999936
WTTR,18,29.999999999999936
CRMD,57,28.99999999999994
CLDX,5,29.999999999999936
MKUL,98,28.499999999999943
YTEN,74,29.999999999999936
6775,2,26.799999999999947
RNGR,15,17.299999999999983
MOXC,79,25.49999999999995
PR,36,29.999999999999936
ASXC,12,29.999999999999936
SOUN,32,22.79999999999996
SKYH,41,18.899999999999977
KBNT,77,29.999999999999936
PCYG,55,29.999999999999936
SIM,14,29.999999999999936
PXMD,32,27.699999999999946
7014,59,25.59999999999995
LASE,56,18.999999999999975
MGAM,100,29.999999999999936
