Symbol,Error,Time
5852,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:07:15.238867
4062,int too big to convert,2024-06-24 16:07:17.017851
4902,int too big to convert,2024-06-24 16:07:17.366779
6671,6 column names provided for a DataFrame of width 9,2024-06-24 16:07:17.799931
6501,int too big to convert,2024-06-24 16:07:18.337364
6503,int too big to convert,2024-06-24 16:07:18.988096
6665,int too big to convert,2024-06-24 16:07:19.801257
6507,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:07:20.436947
6506,int too big to convert,2024-06-24 16:07:20.852049
6504,int too big to convert,2024-06-24 16:07:21.493755
6448,int too big to convert,2024-06-24 16:07:22.059259
6508,int too big to convert,2024-06-24 16:07:23.790864
3105,int too big to convert,2024-06-24 16:07:24.157841
6592,int too big to convert,2024-06-24 16:07:24.535846
6479,int too big to convert,2024-06-24 16:07:25.102355
6588,int too big to convert,2024-06-24 16:07:25.702950
6615,"could not create a new DataFrame: series ""column_0"" has length 8 while series ""column_6"" has length 5",2024-06-24 16:07:26.120059
6620,"could not create a new DataFrame: series ""column_0"" has length 12 while series ""column_6"" has length 2",2024-06-24 16:07:26.484030
6618,"could not create a new DataFrame: series ""column_0"" has length 13 while series ""column_6"" has length 2",2024-06-24 16:07:26.885094
6699,"could not create a new DataFrame: series ""column_0"" has length 5 while series ""column_6"" has length 1",2024-06-24 16:07:27.358352
6625,"could not create a new DataFrame: series ""column_0"" has length 10 while series ""column_6"" has length 4",2024-06-24 16:07:28.559547
6594,int too big to convert,2024-06-24 16:07:29.087952
6759,6 column names provided for a DataFrame of width 9,2024-06-24 16:07:29.948240
6696,"could not create a new DataFrame: series ""column_0"" has length 8 while series ""column_6"" has length 2",2024-06-24 16:07:30.291152
6627,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 3",2024-06-24 16:07:30.767420
6632,int too big to convert,2024-06-24 16:07:31.258727
6719,"could not create a new DataFrame: series ""column_0"" has length 10 while series ""column_6"" has length 1",2024-06-24 16:07:32.019754
6716,"could not create a new DataFrame: series ""column_0"" has length 9 while series ""column_6"" has length 1",2024-06-24 16:07:32.335589
6622,int too big to convert,2024-06-24 16:07:32.768741
6658,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:07:33.248016
6645,int too big to convert,2024-06-24 16:07:34.558502
6694,"could not create a new DataFrame: series ""column_0"" has length 9 while series ""column_6"" has length 2",2024-06-24 16:07:35.105957
6709,"could not create a new DataFrame: series ""column_0"" has length 13 while series ""column_6"" has length 1",2024-06-24 16:07:35.377679
6702,int too big to convert,2024-06-24 16:07:37.216571
6677,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 3",2024-06-24 16:07:37.580543
6730,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:07:38.169105
6674,int too big to convert,2024-06-24 16:07:38.840891
6703,int too big to convert,2024-06-24 16:07:40.741947
6707,int too big to convert,2024-06-24 16:07:41.312468
6721,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:07:41.728571
6701,int too big to convert,2024-06-24 16:07:42.237931
6818,"could not create a new DataFrame: series ""column_0"" has length 2 while series ""column_6"" has length 1",2024-06-24 16:07:42.920742
6728,int too big to convert,2024-06-24 16:07:43.452155
6723,int too big to convert,2024-06-24 16:07:43.799078
6740,int too big to convert,2024-06-24 16:07:44.177083
6724,int too big to convert,2024-06-24 16:07:45.222865
6757,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 1",2024-06-24 16:07:46.982547
6796,"could not create a new DataFrame: series ""column_0"" has length 10 while series ""column_6"" has length 1",2024-06-24 16:07:47.775654
6773,int too big to convert,2024-06-24 16:07:48.357204
6753,int too big to convert,2024-06-24 16:07:49.079120
6769,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 3",2024-06-24 16:07:49.838141
6758,int too big to convert,2024-06-24 16:07:50.388603
6752,int too big to convert,2024-06-24 16:07:50.826773
6762,int too big to convert,2024-06-24 16:07:51.416337
6778,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 2",2024-06-24 16:07:52.804030
6755,int too big to convert,2024-06-24 16:07:53.424677
6770,int too big to convert,2024-06-24 16:07:53.926011
6787,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:07:55.629544
6878,"could not create a new DataFrame: series ""column_0"" has length 6 while series ""column_6"" has length 3",2024-06-24 16:07:56.030608
6806,int too big to convert,2024-06-24 16:07:56.810688
6852,"could not create a new DataFrame: series ""column_0"" has length 12 while series ""column_6"" has length 2",2024-06-24 16:07:57.469435
6810,int too big to convert,2024-06-24 16:07:57.963750
6817,"could not create a new DataFrame: series ""column_0"" has length 13 while series ""column_6"" has length 4",2024-06-24 16:08:00.658923
6837,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:08:01.153235
6845,int too big to convert,2024-06-24 16:08:02.088222
6895,"could not create a new DataFrame: series ""column_0"" has length 10 while series ""column_6"" has length 1",2024-06-24 16:08:02.791095
6861,int too big to convert,2024-06-24 16:08:03.299444
6841,int too big to convert,2024-06-24 16:08:03.747636
6857,int too big to convert,2024-06-24 16:08:05.624628
6856,int too big to convert,2024-06-24 16:08:06.411721
6869,int too big to convert,2024-06-24 16:08:07.177759
6890,int too big to convert,2024-06-24 16:08:09.218185
6920,int too big to convert,2024-06-24 16:08:09.677408
6925,int too big to convert,2024-06-24 16:08:10.381279
6928,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:08:11.386953
6923,int too big to convert,2024-06-24 16:08:13.289011
6972,"could not create a new DataFrame: series ""column_0"" has length 9 while series ""column_6"" has length 1",2024-06-24 16:08:13.771295
6954,int too big to convert,2024-06-24 16:08:14.232522
9518,int too big to convert,2024-06-24 16:08:15.204110
6952,int too big to convert,2024-06-24 16:08:15.941782
6955,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:08:16.342850
6937,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:08:17.114901
6963,int too big to convert,2024-06-24 16:08:17.561089
6965,int too big to convert,2024-06-24 16:08:18.384279
9542,"could not create a new DataFrame: series ""column_0"" has length 5 while series ""column_6"" has length 1",2024-06-24 16:08:20.367552
9540,"could not create a new DataFrame: series ""column_0"" has length 7 while series ""column_6"" has length 1",2024-06-24 16:08:21.300032
9519,int too big to convert,2024-06-24 16:08:21.887594
6967,int too big to convert,2024-06-24 16:08:22.403967
9544,"could not create a new DataFrame: series ""column_0"" has length 5 while series ""column_6"" has length 1",2024-06-24 16:08:22.932374
6981,int too big to convert,2024-06-24 16:08:23.637247
6971,int too big to convert,2024-06-24 16:08:24.306027
6993,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 4",2024-06-24 16:08:24.626880
9504,int too big to convert,2024-06-24 16:08:26.179007
9506,int too big to convert,2024-06-24 16:08:26.648256
9513,int too big to convert,2024-06-24 16:08:27.056343
7280,int too big to convert,2024-06-24 16:08:27.612824
7752,int too big to convert,2024-06-24 16:08:28.548313
7751,int too big to convert,2024-06-24 16:08:28.964415
7244,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:08:29.376512
9502,int too big to convert,2024-06-24 16:08:29.957057
7276,int too big to convert,2024-06-24 16:08:30.505515
6976,int too big to convert,2024-06-24 16:08:30.895553
9508,int too big to convert,2024-06-24 16:08:32.334378
9514,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 1",2024-06-24 16:08:32.947007
9501,int too big to convert,2024-06-24 16:08:33.423274
9535,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:08:33.881493
9505,int too big to convert,2024-06-24 16:08:34.497131
7735,int too big to convert,2024-06-24 16:08:34.969387
8035,int too big to convert,2024-06-24 16:08:35.367445
9503,int too big to convert,2024-06-24 16:08:35.883822
9511,int too big to convert,2024-06-24 16:08:36.648853
9507,int too big to convert,2024-06-24 16:08:38.521839
9509,int too big to convert,2024-06-24 16:08:38.916894
9536,int too big to convert,2024-06-24 16:08:39.307932
9543,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 2",2024-06-24 16:08:39.702979
9534,"could not append value: 9728528000000000000 of type: u64 to the builder; make sure that all rows have the same schema or consider increasing `infer_schema_length`

it might also be that a value overflows the data-type's capacity",2024-06-24 16:08:40.372761
9532,int too big to convert,2024-06-24 16:08:40.707648
5832,int too big to convert,2024-06-24 16:08:41.214996
9047,"could not create a new DataFrame: series ""column_0"" has length 7 while series ""column_6"" has length 1",2024-06-24 16:08:41.822613
9531,int too big to convert,2024-06-24 16:08:42.479363
5831,int too big to convert,2024-06-24 16:08:43.195267
9533,int too big to convert,2024-06-24 16:08:43.868056
9539,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 3",2024-06-24 16:08:45.461291
9147,int too big to convert,2024-06-24 16:08:45.920515
5830,int too big to convert,2024-06-24 16:08:46.554201
7321,int too big to convert,2024-06-24 16:08:46.893098
9024,int too big to convert,2024-06-24 16:08:47.180867
9056,"could not create a new DataFrame: series ""column_0"" has length 7 while series ""column_6"" has length 1",2024-06-24 16:08:47.595972
9008,int too big to convert,2024-06-24 16:08:47.959935
2384,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 1",2024-06-24 16:08:48.361007
9014,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 1",2024-06-24 16:08:48.766083
9009,int too big to convert,2024-06-24 16:08:49.104981
