symbol,div,paymentDate
PBT,0.050711,2024-10-15
GHI,0.37,2024-10-31
DNP,0.065,2024-10-10
MSD,0.22,2024-10-15
DRH,0.03,2024-10-11
STAG,0.123333,2024-10-15
KYN,0.24,2024-10-07
SHO,0.09,2024-10-15
KW,0.12,2024-10-03
GJT,0.123208,2024-10-01
DEI,0.19,2024-10-16
CHMI,0.15,2024-10-31
LADR,0.23,2024-10-15
PLYM,0.24,2024-10-31
EDD,0.135,2024-10-15
BGS,0.19,2024-10-30
TFII,0.4,2024-10-15
ARI,0.25,2024-10-15
STWD,0.48,2024-10-15
AQN,0.065,2024-10-15
PEB,0.01,2024-10-15
EFC,0.13,2024-10-25
TRNO,0.49,2024-10-11
CLDT,0.07,2024-10-15
ACRE,0.25,2024-10-15
MITT,0.19,2024-10-31
RLJ,0.15,2024-10-15
ORC,0.12,2024-10-30
DPG,0.07,2024-10-10
PVL,0.014,2024-10-15
TGLS,0.11,2024-10-31
SCM,0.1333,2024-10-15
RC,0.25,2024-10-31
LFT,0.08,2024-10-15
EARN,0.08,2024-10-25
REXR,0.4175,2024-10-15
IRT,0.16,2024-10-18
BHR,0.05,2024-10-15
IVT,0.2263,2024-10-15
CTRE,0.29,2024-10-15
DBRG,0.01,2024-10-15
AVAL,0.0105402,2024-10-09
XHR,0.12,2024-10-15
GSBD,0.45,2024-10-28
APLE,0.08,2024-10-15
FCPT,0.345,2024-10-15
EQBK,0.15,2024-10-15
YRD,0.2,2024-10-15
ENO,0.34375,2024-10-01
EMP,0.30625,2024-10-01
IIPR,1.9,2024-10-15
PK,0.25,2024-10-15
KREF,0.25,2024-10-15
SAFE,0.177,2024-10-15
GPJA,0.3125,2024-10-01
COLD,0.22,2024-10-15
GHG,0.1,2024-10-16
PRT,0.030026,2024-10-15
EPRT,0.29,2024-10-11
CMSC,0.3671875,2024-10-15
BCSF,0.42,2024-10-31
SILA,0.1333,2024-10-15
GBLI,0.35,2024-10-07
DTB,0.2734375,2024-10-15
TIMB,0.1130089,2024-10-30
PKST,0.225,2024-10-17
BNL,0.29,2024-10-15
BRSP,0.16,2024-10-15
FBRT,0.355,2024-10-10
BXSL,0.77,2024-10-25
ONL,0.1,2024-10-15
CMTG,0.1,2024-10-15
MDV,0.09583,2024-10-25
MSDL,0.5,2024-10-25
OBDE,0.35,2024-10-15
NCDL,0.45,2024-10-28
KBDC,0.4,2024-10-15
AMEN,10.0,2024-10-07
RSKIA,1.0,2024-10-31
LSFG,0.6,2024-10-16
SQCF,0.24,2024-10-18
APTL,0.3925,2024-10-14
DWNX,0.0958,2024-10-15
FSDK,0.6,2024-10-15
LYBC,0.4,2024-10-15
PNMXO,1.145,2024-10-15
SCBS,0.0938,2024-10-04
TYFG,0.2,2024-10-10
TDCB,0.05,2024-10-15
TNABY,0.204542,2024-10-28
AMNF,0.0363,2024-10-25
FFMR,0.48,2024-10-15
HCKG,0.15,2024-10-11
RAFI,0.078,2024-10-08
BNDSY,0.108404,2024-10-16
CNBB,0.29,2024-10-11
BTSNY,0.201179,2024-10-18
BOLSY,0.021454,2024-10-22
BOLSY,0.015389,2024-10-22
NLCP,0.43,2024-10-15
GAMI,2.0,2024-11-04
MKZR,0.125,2024-10-31
