symbol,close,div,divPer
EFC,13.04,0.13,0.009969325153374235
CRT,10.51,0.10223,0.009726926736441485
SCM,13.73,0.1333,0.009708667152221413
INDB,59.08,0.57,0.00964793500338524
CDP,30.59,0.295,0.009643674403399803
CTRE,30.64,0.29,0.009464751958224542
FMC,66.61,0.58,0.008707401291097433
PVL,1.6199,0.014,0.008642508796839312
FITB,43.29,0.37,0.008547008547008548
NFG,60.28,0.515,0.00854346383543464
EPRT,34.17,0.29,0.00848697688030436
SHO,10.68,0.09,0.008426966292134831
CPT,123.84,1.03,0.0083171834625323
ESS,294.97,2.45,0.008305929416550836
REXR,50.87,0.4175,0.008207194810300767
AKR,23.18,0.19,0.00819672131147541
CLDT,8.71,0.07,0.008036739380022962
IVT,28.34,0.2263,0.007985179957657022
XHR,15.09,0.12,0.007952286282306162
IRT,20.44,0.16,0.007827788649706457
PRT,3.915,0.030026,0.007669476372924649
COLD,28.71,0.22,0.007662835249042145
TOWN,33.15,0.25,0.007541478129713424
AVB,225.6,1.7,0.007535460992907801
SCS,13.38,0.1,0.007473841554559043
EGP,187.95,1.4,0.0074487895716946
ATNI,33.05,0.24,0.007261724659606657
TRNO,67.53,0.49,0.007256034355101436
GSBC,56.82,0.4,0.007039774727208729
GNTY,34.7,0.24,0.006916426512968299
SUI,136.32,0.94,0.006895539906103286
BHLB,26.75,0.18,0.0067289719626168224
SAFE,26.61,0.177,0.0066516347237880495
FR,56.04,0.37,0.006602426837972877
TIMB,17.3,0.1130089,0.006532306358381502
DNP,10.02,0.065,0.006487025948103793
MDLZ,74.74,0.47,0.006288466684506289
DPG,11.64,0.07,0.006013745704467354
EPR,48.84,0.285,0.005835380835380834
ITW,265.57,1.5,0.00564822833904432
MDV,17.01,0.09583,0.005633744855967077
YORW,37.59,0.2108,0.005607874434690076
OFG,44.84,0.25,0.005575379125780553
AXS,79.47,0.44,0.005536680508367938
WKC,31.03,0.17,0.0054785691266516275
DOX,87.87,0.479,0.005451234778650278
ISTR,19.28,0.105,0.005446058091286307
FBNC,41.54,0.22,0.005296100144439095
SILA,25.26,0.1333,0.005277117973079968
APLE,15.16,0.08,0.005277044854881266
AVAL,2.04,0.0105402,0.0051667647058823525
NHC,124.69,0.61,0.0048921324885716575
NBH,11.21,0.05417,0.004832292595896521
LINE,79.34,0.38,0.004789513486261658
BANF,105.16,0.46,0.004374286801065044
PBT,11.89,0.050711,0.004265012615643398
TTC,87.6,0.36,0.004109589041095891
VRE,17.72,0.07,0.0039503386004514675
BHE,44.71,0.17,0.003802281368821293
CPHC,18.85,0.07,0.003713527851458886
EQBK,40.77,0.15,0.0036791758646063277
LECO,195.75,0.71,0.003627075351213282
STLD,127.23,0.46,0.0036154994891142026
SLG,69.6,0.25,0.003591954022988506
DE,417.9,1.47,0.0035175879396984926
ADC,74.78,0.25,0.0033431398769724523
DRH,9.0,0.03,0.003333333333333333
STAG,39.29,0.123333,0.0031390430134894376
WTW,293.77,0.88,0.002995540729141846
TFII,138.93,0.4,0.0028791477722594112
HUM,320.65,0.885,0.002760018711991268
ABCB,61.78,0.15,0.0024279702168986724
SYK,362.3,0.8,0.0022081148219707425
ZBH,108.99,0.24,0.002202036884117809
LII,606.95,1.15,0.0018947194991350191
INBK,33.69,0.06,0.0017809439002671415
GVA,79.28,0.13,0.001639757820383451
TGLS,68.48,0.11,0.0016063084112149532
FSV,182.86,0.25,0.001367166138029093
MPWR,923.74,1.25,0.0013531946218632949
IDT,38.57,0.05,0.0012963443090484833
TRAK,17.98,0.0165,0.0009176863181312569
PEB,13.65,0.01,0.0007326007326007326
DBRG,14.44,0.01,0.0006925207756232687
MTR,5.85,0.003733319,0.0006381741880341881
DDS,394.16,0.25,0.0006342601989039983
PCG,19.76,0.01,0.0005060728744939271
ENSG,143.58,0.06,0.0004178854993731717
