symbol,div,paymentDate
GOF,0.1821,2024-09-30
RMM,0.0916,2024-09-30
NUW,0.0465,2024-10-01
AAN,0.125,2024-10-03
JLS,0.1535,2024-10-01
NBB,0.0965,2024-10-01
GBAB,0.12573,2024-09-30
MSI,0.98,2024-10-15
HEQ,0.25,2024-09-30
VGI,0.08,2024-09-26
JRI,0.1335,2024-10-01
PDI,0.2205,2024-10-01
JPI,0.166,2024-10-01
KIO,0.1215,2024-09-30
AMH,0.26,2024-09-30
IBP,0.35,2024-09-30
BSIG,0.01,2024-09-27
NMS,0.0735,2024-10-01
JGH,0.1035,2024-10-01
DIAX,0.2867,2024-10-01
UE,0.17,2024-09-30
NXRT,0.46242,2024-09-30
NSA,0.56,2024-09-30
ACV,0.18,2024-09-26
RIV,0.1289,2024-09-30
TPB,0.07,2024-10-04
RSF,0.1398,2024-09-30
FTV,0.08,2024-09-27
OPP,0.1003,2024-09-30
CWH,0.125,2024-09-25
SNDR,0.095,2024-10-08
CTDD,0.421875,2024-09-16
ADT,0.055,2024-10-04
ECCX,0.41796875,2024-09-30
WH,0.38,2024-09-27
DUKB,0.3515625,2024-09-16
PFFL,0.0957,2024-09-23
RMI,0.0965,2024-09-30
SMHB,0.0925,2024-09-23
PDX,0.1133,2024-10-01
AFGB,0.3671875,2024-09-30
NMCO,0.0685,2024-10-01
HDLB,0.0872,2024-09-23
AIO,0.15,2024-09-26
CUBB,0.3359375,2024-09-30
NREF,0.5,2024-09-30
RFM,0.0954,2024-09-30
CEFD,0.2297,2024-09-23
MVRL,0.144,2024-09-23
SBBA,0.4375,2024-09-30
NDMO,0.062,2024-10-01
MNSO,0.2744,2024-09-26
PDO,0.1279,2024-10-01
TFSA,0.4375,2024-09-30
RFMZ,0.0866,2024-09-30
ECCW,0.421875,2024-09-30
HTFB,0.3047,2024-09-30
KKRS,0.2890625,2024-10-01
NPCT,0.119,2024-10-01
BIPH,0.3125,2024-09-30
TPTA,0.375,2024-09-30
CBL,0.4,2024-09-30
NMAI,0.4175,2024-10-01
GUG,0.11875,2024-09-30
NPFD,0.1675,2024-10-01
BWNB,0.40625,2024-09-30
BIPI,0.3203125,2024-09-30
ECCV,0.3359375,2024-09-30
PAXS,0.1494,2024-10-01
RMMZ,0.0974,2024-09-30
HTFC,0.390625,2024-09-30
VSTS,0.035,2024-10-03
PMTU,0.5312,2024-09-30
WS,0.16,2024-09-27
ATHS,0.453125,2024-09-30
BIPJ,0.6041667,2024-09-30
LOGN,0.45,2024-10-15
QNBC,0.37,2024-09-27
HFBA,0.41,2024-09-30
FFWC,0.3,2024-09-27
NASB,0.25,2024-09-27
GTPS,0.25,2024-10-01
SPKKY,0.065351844,2024-10-15
SPKKY,0.37032714,2024-10-15
FMBL,28.0,2024-09-30
CEFC,0.14,2024-10-01
AMBKP,0.1275,2024-09-30
BYLB,0.75,2024-09-30
FBIP,0.99,2024-09-18
KTHN,0.175,2024-09-20
PPAL,0.2875,2024-10-01
PPLL,0.63,2024-09-30
FIISO,2.12,2024-10-02
AGRPY,0.599181,2024-09-26
MNMB,0.3,2024-10-01
BICEY,0.79236,2024-10-03
IKTSY,0.655389,2024-10-23
FBDHY,0.36625,2024-11-04
CKISY,0.411692,2024-10-10
DNFGY,0.266033,2024-11-12
BDORY,0.025379,2024-10-07
CARCY,0.061627,2024-11-12
ITAYY,0.094815,2024-10-10
MHGUP,0.2,2024-10-01
MCHVY,0.473311,2024-10-18
TTAPY,0.344401,2024-10-15
CGASY,0.272048,2024-11-19
GNZUY,0.029487,2024-10-15
DMRRP,1.0,2024-10-01
CKNQP,1.55,2024-10-01
EDVMF,0.41,2024-10-10
CTNGY,0.008445,2024-11-01
SLBK,0.23,2024-09-23
PSBXP,0.328125,2024-09-30
PSBYP,0.325,2024-09-30
PSBZP,0.304688,2024-09-30
