symbol,div,paymentDate
MRK,0.77,2024-10-07
DTM,0.735,2024-10-15
PLOW,0.295,2024-09-30
DSM,0.018,2024-10-01
BKT,0.0882,2024-09-30
BBN,0.0929,2024-09-30
BKN,0.057,2024-10-01
BNY,0.043,2024-10-01
MMI,0.25,2024-10-04
GNT,0.03,2024-09-23
HCA,0.66,2024-09-30
BCX,0.0518,2024-09-30
PFLT,0.1025,2024-10-01
BUI,0.121,2024-09-30
MMD,0.06,2024-09-30
BTT,0.0464,2024-10-01
BIT,0.1237,2024-09-30
PGZ,0.105,2024-09-30
ESRT,0.035,2024-09-30
ICE,0.45,2024-09-30
TPVG,0.3,2024-09-30
TSLX,0.46,2024-09-30
NEU,2.5,2024-10-01
GGZ,0.16,2024-09-23
FNF,0.48,2024-09-30
IRM,0.715,2024-10-03
BST,0.25,2024-09-30
ARR,0.24,2024-09-27
CNNE,0.12,2024-09-30
UTZ,0.011,2024-10-03
ARES,0.93,2024-09-30
FINS,0.109,2024-09-30
BSTZ,0.21395,2024-09-30
BMEZ,0.17602,2024-09-30
EDR,0.06,2024-09-30
BCAT,0.287,2024-09-30
BIGZ,0.08665,2024-09-30
NBXG,0.1,2024-09-30
ECAT,0.30116,2024-09-30
CRBG,0.23,2024-09-30
BMN,0.09375,2024-10-01
FG,0.21,2024-09-30
VTS,0.525,2024-09-30
SPMC,0.2,2024-09-30
PDCC,0.22,2024-09-30
PLDGP,1.0675,2024-09-30
CIZN,0.16,2024-09-30
CNBN,0.14,2024-09-30
UNTC,1.25,2024-09-27
CWBK,0.23,2024-10-01
BXSY,0.25,2024-09-27
AMBK,0.14,2024-10-01
PNBI,0.25,2024-09-30
MOVAA,0.35,2024-09-30
VNORP,0.8125,2024-10-01
NMPWP,0.85,2024-09-30
AIFS,0.035,2024-09-30
BHKLY,1.442119,2024-10-04
HUIHY,0.205249,2024-10-24
HUIHY,0.019242,2024-10-24
DNERY,0.0076007,2024-10-30
HPIFY,0.508289,2024-09-16
CSXXY,0.215952,2024-10-28
DIISY,0.089196,2024-10-25
FRSHY,0.153934,2024-11-15
CKHUY,0.070691,2024-10-10
CNGKY,0.080091,2024-10-10
CNHHY,0.325573,2024-10-21
NMKCP,0.975,2024-09-30
NMKBP,0.9,2024-09-30
TOIPY,0.266945,2024-10-15
