,Symbol,Performance
100,ING,1.410225575808711
101,FLNG,7.792749623973296
102,FNGR,1.2716980242567952
103,YANG,1.0616534191607558
104,NWG,1.763873285122314
105,LYG,1.3328613197535089
106,ADP,1.591075771702692
107,TWTR,1.2363226532564886
108,LCAA,1.0081218193510484
109,XRT,1.3413910161500482
110,XLB,1.243918220439436
111,WEAT,1.7264149602344816
112,SARK,2.066466193329083
113,HUSA,2.129230792705829
114,GT,1.1801169505846134
115,BHR,1.872713381826089
116,RRC,3.813912199620587
117,TTD,1.2956738116720057
118,UEC,3.932584332871989
119,AAPD,1.1987804599113705
120,GLBL,1.017453807011171
121,ARCC,1.5043987563479384
122,JWN,1.1348717294854305
123,SVXY,1.5337752425668192
124,RETL,1.025053361350438
125,MODG,1.154676251588885
126,OPA,1.023711391797241
127,UMC,2.322987854642247
128,FL,1.1563630042433095
129,SPG,1.6772620563314915
130,BHP,1.2048010679614198
131,AA,3.231383307584536
132,VNQ,1.111546726107656
133,ERJ,1.460101965435377
134,MT,1.854769781376568
135,MUFG,1.1749347492533702
136,CLF,2.6886226849604618
137,PFE,1.4870096738912493
138,POND,1.0134020739172331
139,EXC,1.542248532849234
140,EBR,1.3328621811187968
141,KSS,1.29631361226613
142,TMV,2.8071832006535544
143,IX,1.1737252822375503
144,BTI,1.146959316865097
145,X,2.737039547526133
146,NMFC,1.6211936017997126
147,APA,2.922800296925722
148,XOP,2.7575999046145805
149,GSAT,4.676470637218349
150,AR,11.224264840263498
151,RWT,1.140169647433741
152,SKX,1.1389586671050715
153,BNGO,3.388888833699405
154,HAL,2.148138736457057
155,DBO,2.1292426635628336
156,AMAT,1.321089760965988
157,PED,1.1689814401213066
158,WFC,1.7295339926833884
159,ASX,1.2047375461707237
160,ENVX,1.358148080331308
161,ITUB,1.3422196559832336
162,DNN,3.051282309921545
163,RUN,1.0113636165007187
164,MFGP,1.4900168184719131
165,QCOM,1.2681158443718883
166,ASML,1.0608874818698448
167,CPG,4.19797365596316
168,LMT,1.2012842172236606
169,JPM,1.2015414066083674
170,CVX,1.9394620807098952
171,KHC,1.1708302921515663
172,PRTA,4.990123701374186
173,CRF,1.150514388678821
174,STOR,1.630214321473232
175,EWU,1.0488207608252331
176,PSEC,1.6742095976251166
177,PFDR,1.0137755332912617
178,CSX,1.2125663260651671
179,BBVA,1.3788215921177245
180,PEP,1.313886581069165
181,MRNA,1.829079616535901
182,XLU,1.2378013903118543
183,EXK,1.198412699914453
184,RITM,1.3404434105761522
185,PPSI,1.921921685608916
186,MDLZ,1.1395578924770176
187,GME,23.93333362094941
188,GGB,1.8134550365731
189,NET,1.313464748791635
190,UBS,1.3348846511453074
191,CCJ,2.525046886724883
192,BERZ,1.7802817303558636
193,ATI,2.901853913735843
194,XEL,1.0740625455296262
195,VTI,1.164901642057511
196,ZS,1.2992648197111565
197,VET,5.394555135080035
198,EDZ,1.0074330830655045
199,SBUX,1.2065081352278904
200,WOLF,1.6411938001985236
201,JEPI,1.216129711133228
202,URTY,1.1495723546461278
203,IYR,1.0993158201972997
204,GERN,1.093457850215429
205,TTE,1.4393107989980003
206,GNRC,1.4106746999656592
207,APPS,1.12666144569123
208,ALC,1.0360540238709262
209,HSBC,1.1972131308322291
210,LTHM,5.082918499517667
211,DKDCA,1.0506585618842363
212,VERU,3.7524432274483006
213,VTWO,1.2215192350781003
214,MRVL,1.1265108506847876
