Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
GDX,29.85,Put,30,2023-08-18,56,1.31,1.33,1.35,1.3,2528,9440,"+6,794",28.49%,2023-06-22
SPY,436.51,Put,400,2023-09-15,84,2.83,2.84,2.85,2.82,11193,161690,"+6,607",18.88%,2023-06-22
SPY,436.51,Call,435,2023-06-23,0,1.87,1.89,1.9,1.89,188367,14537,"+6,534",10.08%,2023-06-22
SPY,436.51,Put,446,2023-09-15,84,13.09,13.23,13.37,13.62,1519,6533,"+6,509",11.31%,2023-06-22
SPY,436.51,Put,420,2023-07-21,28,1.33,1.34,1.34,1.32,13121,163636,"+6,460",14.39%,2023-06-22
QQQ,366.17,Put,360,2023-09-15,84,9.33,9.35,9.37,9.38,2800,54594,"+6,444",19.57%,2023-06-22
QQQ,366.17,Call,360,2023-06-30,7,8.01,8.09,8.17,8,11391,29641,"+6,154",20.21%,2023-06-22
IWM,183.33,Call,194,2023-07-07,14,0.18,0.19,0.2,0.19,1617,6250,"+5,955",18.51%,2023-06-22
SPY,436.51,Put,433,2023-06-23,0,0.16,0.17,0.17,0.17,96951,18738,"+5,709",13.19%,2023-06-22
HYG,74.32,Call,76,2023-08-18,56,0.1,0.12,0.14,0.1,12440,53168,"+5,637",5.18%,2023-06-22
EEM,39.75,Put,39,2023-12-15,175,1.14,1.23,1.33,1.23,10000,127175,"+5,565",16.59%,2023-06-22
SPY,436.51,Put,433,2023-06-30,7,1.17,1.17,1.18,1.18,15610,9219,"+5,495",11.05%,2023-06-22
QQQ,366.17,Call,362,2023-06-22,0,4.07,4.27,4.46,4.1,30229,5715,"+5,482",19.84%,2023-06-22
SPY,436.51,Put,432,2023-07-28,35,4.06,4.07,4.09,4.01,561,6052,"+5,480",12.31%,2023-06-22
HYG,74.32,Put,70,2023-09-15,84,0.24,0.28,0.32,0.31,20002,43478,"+5,380",11.84%,2023-06-22
SPY,436.51,Put,425,2023-08-18,56,4.14,4.15,4.16,4.16,4002,30798,"+5,310",14.10%,2023-06-22
SPY,436.51,Put,425,2023-09-15,84,6.15,6.17,6.18,6.1,552,54734,"+5,214",14.77%,2023-06-22
IWM,183.33,Call,190,2023-07-07,14,0.5,0.51,0.52,0.52,2556,11350,"+5,126",17.39%,2023-06-22
XLF,32.88,Call,35,2023-08-18,56,0.14,0.16,0.17,0.15,580,14259,"+5,034",14.35%,2023-06-22
EWZ,32.78,Call,33,2023-06-30,7,0.43,0.45,0.47,0.45,7510,36673,"+5,000",30.89%,2023-06-22
QQQ,366.17,Call,363,2023-06-22,0,3.2,3.35,3.5,3.29,62529,5048,"+4,891",11.82%,2023-06-22
SPY,436.51,Put,415,2023-07-28,35,1.43,1.44,1.45,1.43,759,6948,"+4,816",15.82%,2023-06-22
SPY,436.51,Call,439,2023-06-23,0,0.23,0.24,0.24,0.24,54862,16268,"+4,731",11.40%,2023-06-22
SPY,436.51,Put,390,2023-08-18,56,1.03,1.04,1.04,1.04,5679,39536,"+4,585",20.52%,2023-06-22
GLD,177.71,Put,160,2024-05-17,329,1.93,1.96,2,1.92,5316,4524,"+4,501",15.31%,2023-06-22
SPY,436.51,Call,442,2023-08-18,56,6.97,6.98,7,6.97,5429,10893,"+4,491",12.25%,2023-06-22
IWM,183.33,Put,177,2023-07-21,28,1.38,1.39,1.4,1.4,4338,12822,"+4,474",19.53%,2023-06-22
SPY,436.51,Call,438,2023-06-23,0,0.43,0.44,0.44,0.44,86029,12270,"+4,465",11.05%,2023-06-22
QQQ,366.17,Call,365,2023-06-22,0,1.18,1.4,1.63,1.29,149412,5386,"+4,436",5.81%,2023-06-22
UVXY,1.98,Call,2,2023-06-30,7,0.09,0.1,0.1,0.1,7705,11458,"+4,420",99.08%,2023-06-22
SPY,436.51,Put,427,2023-07-21,28,2.22,2.23,2.23,2.18,2261,5882,"+4,413",12.83%,2023-06-22
SPY,436.51,Put,434,2023-06-30,7,1.47,1.48,1.48,1.47,11249,11788,"+4,372",10.94%,2023-06-22
SPY,436.51,Put,435,2023-07-21,28,4.19,4.2,4.2,4.23,15742,26362,"+4,295",11.17%,2023-06-22
QQQ,366.17,Put,361,2023-06-23,0,0.17,0.18,0.19,0.18,20623,7168,"+4,223",21.14%,2023-06-22
XLF,32.88,Put,33,2023-06-30,7,0.29,0.32,0.36,0.35,1278,25213,"+4,093",16.24%,2023-06-22
TQQQ,40.14,Call,39,2023-06-23,0,1.22,1.28,1.33,1.25,23049,6561,"+4,083",57.64%,2023-06-22
IWM,183.33,Call,191,2023-07-21,28,0.99,1,1.01,0.98,1024,9814,"+4,058",16.77%,2023-06-22
QQQ,366.17,Put,359,2023-07-21,28,3.86,3.88,3.89,3.89,1031,12870,"+3,996",18.23%,2023-06-22
QQQ,366.17,Put,355,2023-06-27,4,0.19,0.2,0.2,0.2,765,4523,"+3,986",19.57%,2023-06-22
XLF,32.88,Put,33,2023-08-18,56,0.75,0.77,0.78,0.77,1270,8224,"+3,914",15.13%,2023-06-22
SPY,436.51,Put,430,2023-08-18,56,5.2,5.22,5.23,5.21,6654,31772,"+3,892",13.14%,2023-06-22
GDX,29.85,Put,30,2023-07-21,28,0.91,0.93,0.95,0.9,1155,25392,"+3,819",26.97%,2023-06-22
QQQ,366.17,Put,358,2023-06-27,4,0.37,0.38,0.39,0.39,1478,4126,"+3,818",18.33%,2023-06-22
SPY,436.51,Put,415,2023-07-21,28,0.94,0.95,0.95,0.95,7767,88982,"+3,800",15.51%,2023-06-22
USO,62.52,Put,60,2023-07-21,28,1.2,1.28,1.36,1.28,2213,6753,"+3,707",35.56%,2023-06-22
SMH,150.08,Put,145,2023-07-21,28,1.92,1.97,2.02,2.08,903,9873,"+3,703",25.39%,2023-06-22
EWZ,32.78,Put,32,2024-01-19,210,2.33,2.45,2.57,2.57,737,6251,"+3,565",28.58%,2023-06-22
SPY,436.51,Put,405,2023-07-21,28,0.52,0.53,0.53,0.52,3488,82679,"+3,540",17.85%,2023-06-22
SPY,436.51,Put,400,2023-08-18,56,1.48,1.49,1.5,1.49,7885,77555,"+3,458",18.68%,2023-06-22
FXI,27.44,Call,29.85,2023-08-18,56,0.37,0.39,0.41,0.4,1160,30738,"+3,407",27.33%,2023-06-22
TQQQ,40.14,Call,40,2023-06-23,0,0.53,0.55,0.58,0.57,27944,9385,"+3,377",59.51%,2023-06-22
QQQ,366.17,Put,352,2023-06-30,7,0.4,0.41,0.41,0.41,828,8405,"+3,377",21.18%,2023-06-22
QQQ,366.17,Call,360,2023-07-21,28,11.79,11.85,11.91,11.83,27109,41398,"+3,374",18.88%,2023-06-22
SPY,436.51,Put,390,2023-09-15,84,2.12,2.13,2.14,2.12,2541,73905,"+3,332",20.44%,2023-06-22
QQQ,366.17,Call,364,2023-06-22,0,2.08,2.27,2.46,2.22,134682,3906,"+3,205",5.43%,2023-06-22
QQQ,366.17,Put,330,2023-09-15,84,3.35,3.36,3.37,3.37,13545,23911,"+3,136",23.93%,2023-06-22
BITO,16.98,Call,19,2023-06-30,7,0.11,0.12,0.13,0.13,1507,4337,"+3,045",75.01%,2023-06-22
SPY,436.51,Call,437,2023-06-30,7,2.54,2.55,2.55,2.54,8335,7584,"+3,019",10.91%,2023-06-22
QQQ,366.17,Put,350,2023-08-18,56,4.66,4.68,4.69,4.69,4041,28093,"+3,018",20.88%,2023-06-22
SPY,436.51,Put,430,2023-09-15,84,7.26,7.28,7.29,7.22,987,33817,"+3,009",13.89%,2023-06-22
QQQ,366.17,Call,362,2023-06-30,7,6.51,6.57,6.63,6.42,1923,8400,"+2,988",19.55%,2023-06-22
TLT,102.31,Call,105,2023-06-30,7,0.12,0.13,0.13,0.13,2491,9535,"+2,948",15.59%,2023-06-22
SPY,436.51,Call,455,2023-07-21,28,0.45,0.46,0.46,0.45,936,11843,"+2,939",9.98%,2023-06-22
QQQ,366.17,Call,366,2023-06-22,0,0.3,0.34,0.38,0.3,73043,4255,"+2,937",2.27%,2023-06-22
SPY,436.51,Call,439,2023-07-21,28,4.82,4.84,4.85,4.83,7266,6391,"+2,922",11.27%,2023-06-22
SPY,436.51,Put,420,2023-08-18,56,3.33,3.34,3.35,3.34,7134,71731,"+2,920",15.03%,2023-06-22
SPY,436.51,Put,432,2023-07-21,28,3.29,3.3,3.3,3.3,4634,10473,"+2,907",11.80%,2023-06-22
SPY,436.51,Call,433,2023-07-21,28,8.63,8.64,8.65,8.65,4873,2914,"+2,894",12.53%,2023-06-22
SPY,436.51,Call,438,2023-06-30,7,2.07,2.08,2.08,2.07,9357,8086,"+2,887",10.85%,2023-06-22
SPY,436.51,Put,410,2024-01-19,210,9.76,9.84,9.92,9.91,3061,20686,"+2,866",18.32%,2023-06-22
IWM,183.33,Call,184,2023-06-26,3,0.74,0.75,0.75,0.73,2650,3244,"+2,842",15.41%,2023-06-22
TLT,102.31,Put,102,2023-08-18,56,2.11,2.14,2.17,2.14,1201,4980,"+2,800",15.33%,2023-06-22
SPY,436.51,Call,442,2023-07-21,28,3.36,3.37,3.38,3.37,5181,11143,"+2,781",10.79%,2023-06-22
SPY,436.51,Put,432,2023-06-23,0,0.09,0.1,0.1,0.1,57920,15830,"+2,757",13.81%,2023-06-22
BITO,16.98,Call,17,2023-06-23,0,0.19,0.21,0.23,0.23,3033,3708,"+2,752",68.42%,2023-06-22
SPY,436.51,Put,438,2023-06-23,0,2.04,2.05,2.07,2.05,6810,13197,"+2,742",13.06%,2023-06-22
SPY,436.51,Call,450,2023-08-18,56,3.4,3.42,3.43,3.38,7055,22759,"+2,701",11.12%,2023-06-22
XLI,104.07,Put,104,2023-06-23,0,0,0.5,1,0.32,512,4344,"+2,698",16.60%,2023-06-22
XLF,32.88,Call,34,2023-08-18,56,0.4,0.41,0.42,0.4,17759,7649,"+2,667",15.15%,2023-06-22
XLF,32.88,Put,33,2023-07-21,28,0.53,0.54,0.55,0.54,4122,31476,"+2,640",14.09%,2023-06-22
QQQ,366.17,Put,353,2023-06-30,7,0.46,0.47,0.48,0.48,1895,25909,"+2,639",20.89%,2023-06-22
XLE,77.92,Call,85,2023-09-15,84,1.11,1.2,1.28,1.21,2466,7321,"+2,627",23.63%,2023-06-22
SPY,436.51,Put,435,2023-06-28,5,1.41,1.42,1.42,1.42,9570,3971,"+2,621",10.65%,2023-06-22
BITO,16.98,Call,18,2023-06-30,7,0.23,0.24,0.25,0.23,3246,7535,"+2,560",63.62%,2023-06-22
SPY,436.51,Put,427,2023-06-28,5,0.14,0.15,0.15,0.14,745,2881,"+2,558",11.99%,2023-06-22
SLV,20.53,Call,21,2023-06-30,7,0.13,0.14,0.14,0.14,4349,4766,"+2,558",27.48%,2023-06-22
KRE,40.16,Put,41,2023-07-21,28,1.74,1.97,2.2,2.1,610,7036,"+2,523",37.46%,2023-06-22
QQQ,366.17,Call,366,2023-06-27,4,2.72,2.75,2.78,2.73,1967,2890,"+2,520",16.69%,2023-06-22
SPY,436.51,Put,435,2023-06-26,3,0.9,0.91,0.91,0.91,43313,6787,"+2,492",10.11%,2023-06-22
SPY,436.51,Call,440,2023-07-21,28,4.3,4.31,4.32,4.3,10545,49097,"+2,452",11.09%,2023-06-22
TQQQ,40.14,Call,41,2023-06-23,0,0.17,0.18,0.18,0.18,18014,14368,"+2,448",58.78%,2023-06-22
TLT,102.31,Put,102,2023-06-30,7,0.59,0.61,0.62,0.6,9099,4478,"+2,443",13.50%,2023-06-22
SPY,436.51,Call,440,2023-06-28,5,0.8,0.81,0.81,0.78,5264,5781,"+2,387",9.95%,2023-06-22
SPY,436.51,Put,433,2023-06-27,4,0.6,0.61,0.61,0.61,5226,3670,"+2,374",10.52%,2023-06-22
QQQ,366.17,Call,373,2023-06-30,7,1.33,1.35,1.36,1.33,3625,4375,"+2,373",18.19%,2023-06-22
QQQ,366.17,Put,368,2023-06-30,7,4.31,4.35,4.39,4.41,2230,3993,"+2,361",17.33%,2023-06-22
QQQ,366.17,Put,355,2023-06-30,7,0.63,0.64,0.65,0.65,18101,19282,"+2,357",20.26%,2023-06-22
SPY,436.51,Put,434,2023-06-23,0,0.28,0.29,0.29,0.29,126693,14766,"+2,321",12.62%,2023-06-22
SPY,436.51,Call,440,2023-08-18,56,8.11,8.13,8.14,8.1,5104,27519,"+2,302",12.63%,2023-06-22
XLI,104.07,Put,103.5,2023-06-30,7,0.05,0.38,0.7,0.56,676,2375,"+2,301",14.63%,2023-06-22
QQQ,366.17,Call,370,2023-07-07,14,3.53,3.55,3.56,3.54,912,3878,"+2,301",17.31%,2023-06-22
EEM,39.75,Call,43,2023-09-15,84,0.16,0.21,0.26,0.22,25010,35596,"+2,287",14.41%,2023-06-22
XLF,32.88,Put,32,2023-07-21,28,0.23,0.24,0.24,0.23,9722,38317,"+2,283",16.37%,2023-06-22
QQQ,366.17,Put,270,2023-12-15,175,2.01,2.03,2.04,2.08,506,69808,"+2,263",31.57%,2023-06-22
SPY,436.51,Call,434,2023-06-23,0,2.6,2.66,2.72,2.66,61255,2934,"+2,253",9.13%,2023-06-22
SPY,436.51,Put,426,2023-06-30,7,0.27,0.28,0.28,0.25,3023,9688,"+2,248",12.82%,2023-06-22
IWM,183.33,Put,184,2023-06-23,0,1.17,1.18,1.19,1.18,8649,15217,"+2,238",21.30%,2023-06-22
QQQ,366.17,Call,370,2023-06-30,7,2.2,2.22,2.23,2.22,19765,21121,"+2,213",18.28%,2023-06-22
SPY,436.51,Call,444,2023-06-28,5,0.18,0.19,0.19,0.18,1420,3642,"+2,207",9.94%,2023-06-22
QQQ,366.17,Put,350,2023-06-30,7,0.3,0.31,0.31,0.31,12205,29536,"+2,204",21.95%,2023-06-22
QQQ,366.17,Call,365,2023-06-23,0,2.17,2.2,2.23,2.18,105727,9845,"+2,201",19.73%,2023-06-22
IWM,183.33,Call,188,2023-06-30,7,0.44,0.45,0.45,0.45,12406,19216,"+2,194",18.79%,2023-06-22
SPY,436.51,Put,421,2023-06-30,7,0.13,0.14,0.14,0.14,1751,24920,"+2,187",15.08%,2023-06-22
SPY,436.51,Put,420,2023-07-07,14,0.38,0.39,0.39,0.39,4227,16765,"+2,186",14.07%,2023-06-22
SPY,436.51,Put,435,2023-07-28,35,4.97,4.98,5,4.98,2588,4186,"+2,177",11.71%,2023-06-22
SPY,436.51,Put,350,2023-08-18,56,0.34,0.35,0.35,0.35,4097,40157,"+2,177",28.59%,2023-06-22
SPY,436.51,Put,431,2023-06-26,3,0.17,0.18,0.18,0.17,11583,3287,"+2,174",10.60%,2023-06-22
QQQ,366.17,Call,365,2023-07-21,28,8.55,8.58,8.6,8.6,21206,34594,"+2,172",18.17%,2023-06-22
SPY,436.51,Put,390,2023-07-21,28,0.26,0.27,0.27,0.27,2313,69642,"+2,147",21.82%,2023-06-22
SPY,436.51,Put,431,2023-06-27,4,0.29,0.3,0.3,0.31,2094,3513,"+2,131",10.74%,2023-06-22
SPY,436.51,Put,434,2023-08-18,56,6.3,6.31,6.32,6.22,1459,6375,"+2,121",12.41%,2023-06-22
QQQ,366.17,Put,365,2023-06-27,4,1.89,1.9,1.92,1.91,4090,3533,"+2,105",16.50%,2023-06-22
QQQ,366.17,Put,350,2023-07-07,14,0.78,0.79,0.8,0.81,7593,10546,"+2,084",19.96%,2023-06-22
QQQ,366.17,Put,360,2023-06-30,7,1.36,1.37,1.38,1.37,15091,30836,"+2,061",18.68%,2023-06-22
IWM,183.33,Put,175,2023-08-18,56,2.25,2.26,2.28,2.25,51403,56455,"+2,049",20.48%,2023-06-22
QQQ,366.17,Call,360,2023-08-18,56,16.32,16.37,16.41,16.29,506,5468,"+2,043",20.37%,2023-06-22
SPY,436.51,Put,434,2023-07-21,28,3.86,3.87,3.88,3.88,6002,29729,"+1,999",11.40%,2023-06-22
SPY,436.51,Call,433,2023-06-22,0,2.78,3.2,3.62,3.16,25519,2302,"+1,989",10.42%,2023-06-22
SPY,436.51,Put,435,2023-08-18,56,6.61,6.63,6.64,6.62,9518,26302,"+1,962",12.22%,2023-06-22
QQQ,366.17,Call,363,2023-06-23,0,3.63,3.72,3.81,3.69,29217,4845,"+1,946",21.08%,2023-06-22
QQQ,366.17,Put,364,2023-06-23,0,0.59,0.61,0.62,0.6,42265,5426,"+1,931",19.08%,2023-06-22
SPY,436.51,Put,407,2023-07-21,28,0.58,0.59,0.59,0.58,2103,12204,"+1,916",17.36%,2023-06-22
SPY,436.51,Call,441,2023-06-28,5,0.57,0.58,0.58,0.56,1279,3270,"+1,903",9.94%,2023-06-22
SPY,436.51,Call,437,2023-07-07,14,3.7,3.71,3.72,3.74,5266,4627,"+1,878",10.71%,2023-06-22
UVXY,1.98,Call,4,2023-11-17,147,0.29,0.32,0.35,0.31,1310,13016,"+1,877",142.64%,2023-06-22
GDX,29.85,Call,31,2023-07-21,28,0.48,0.5,0.51,0.51,1346,16851,"+1,874",28.30%,2023-06-22
IWM,183.33,Put,175,2023-07-07,14,0.4,0.41,0.42,0.4,594,3428,"+1,833",20.33%,2023-06-22
SPY,436.51,Call,434,2023-06-29,6,3.94,3.98,4.02,3.93,7188,2177,"+1,830",10.51%,2023-06-22
UPRO,45.43,Call,50,2023-07-21,28,0.2,0.25,0.3,0.25,557,5336,"+1,806",29.46%,2023-06-22
SQQQ,19.42,Call,20,2023-06-30,7,0.35,0.36,0.37,0.37,9946,10066,"+1,787",56.28%,2023-06-22
SPY,436.51,Put,420,2023-10-20,119,7.37,7.39,7.41,7.38,1446,30737,"+1,779",16.25%,2023-06-22
UVXY,1.98,Call,2,2023-07-07,14,0.11,0.12,0.13,0.11,2597,6436,"+1,763",75.96%,2023-06-22
QQQ,366.17,Call,361,2023-06-22,0,5.11,5.29,5.47,5.11,10619,1914,"+1,753",23.34%,2023-06-22
SPY,436.51,Put,433,2023-07-21,28,3.56,3.57,3.58,3.56,4487,2331,"+1,750",11.56%,2023-06-22
SPY,436.51,Put,436,2023-06-26,3,1.29,1.3,1.31,1.31,25137,4648,"+1,735",10.16%,2023-06-22
USO,62.52,Put,65,2023-06-30,7,2.74,2.82,2.89,2.85,1732,1820,"+1,734",36.52%,2023-06-22
SPY,436.51,Put,421,2023-07-21,28,1.42,1.42,1.43,1.43,1370,11381,"+1,685",14.16%,2023-06-22
QQQ,366.17,Put,345,2023-06-30,7,0.15,0.16,0.16,0.16,11272,19936,"+1,659",23.95%,2023-06-22
SPY,436.51,Put,430,2023-07-03,10,0.76,0.77,0.77,0.77,2364,2194,"+1,645",10.70%,2023-06-22
SPY,436.51,Put,434,2023-06-27,4,0.85,0.86,0.86,0.85,10013,2810,"+1,643",10.41%,2023-06-22
SPY,436.51,Call,437,2023-07-21,28,5.97,5.98,5.99,5.99,9701,3440,"+1,617",11.67%,2023-06-22
SPY,436.51,Put,431,2023-06-28,5,0.42,0.43,0.43,0.44,2568,1998,"+1,616",10.83%,2023-06-22
SPY,436.51,Call,440,2023-06-26,3,0.35,0.36,0.36,0.36,29048,4002,"+1,615",9.25%,2023-06-22
TQQQ,40.14,Put,39,2023-06-23,0,0.12,0.13,0.14,0.13,14443,10620,"+1,613",62.27%,2023-06-22
SPY,436.51,Call,439,2023-06-30,7,1.66,1.67,1.67,1.64,6597,8012,"+1,607",10.81%,2023-06-22
SPY,436.51,Put,432,2023-06-27,4,0.42,0.43,0.43,0.43,2293,3003,"+1,584",10.64%,2023-06-22
UNG,7.17,Call,7,2023-06-30,7,0.32,0.35,0.38,0.37,754,8046,"+1,566",69.69%,2023-06-22
SPY,436.51,Call,447,2023-07-21,28,1.66,1.67,1.68,1.66,2685,2657,"+1,565",10.21%,2023-06-22
GDX,29.85,Put,29,2023-07-07,14,0.27,0.29,0.3,0.29,784,2209,"+1,557",27.75%,2023-06-22
SPY,436.51,Put,434,2023-06-26,3,0.61,0.62,0.62,0.61,19163,3386,"+1,547",10.10%,2023-06-22
SPY,436.51,Call,443,2023-07-21,28,2.95,2.96,2.97,2.95,3952,2905,"+1,529",10.64%,2023-06-22
TLT,102.31,Call,104,2023-09-15,84,2.44,2.47,2.5,2.43,6205,7114,"+1,523",15.36%,2023-06-22
SPY,436.51,Put,432,2023-06-28,5,0.58,0.59,0.59,0.58,5374,2287,"+1,515",10.69%,2023-06-22
GDX,29.85,Call,30.5,2023-07-21,28,0.66,0.68,0.69,0.69,2156,2074,"+1,505",28.46%,2023-06-22
QQQ,366.17,Put,352,2023-06-28,5,0.18,0.19,0.2,0.2,856,2038,"+1,476",21.19%,2023-06-22
QQQ,366.17,Put,362,2023-06-23,0,0.26,0.27,0.28,0.26,34779,8755,"+1,476",20.17%,2023-06-22
SPY,436.51,Put,428,2023-06-27,4,0.11,0.11,0.12,0.11,1172,1943,"+1,475",11.65%,2023-06-22
SPY,436.51,Call,435,2023-06-29,6,3.31,3.33,3.34,3.36,8473,1685,"+1,460",10.48%,2023-06-22
SPY,436.51,Call,438,2023-06-28,5,1.44,1.44,1.45,1.45,7316,2732,"+1,459",9.91%,2023-06-22
SPY,436.51,Call,448,2023-07-21,28,1.42,1.43,1.44,1.43,3651,14272,"+1,449",10.16%,2023-06-22
SPY,436.51,Call,440,2023-07-07,14,2.27,2.29,2.3,2.26,3121,21673,"+1,446",10.35%,2023-06-22
SPY,436.51,Call,445,2023-10-20,119,11.61,11.68,11.74,11.62,3211,15298,"+1,433",13.10%,2023-06-22
SPY,436.51,Put,437,2023-06-26,3,1.79,1.8,1.81,1.81,4268,4220,"+1,428",10.22%,2023-06-22
SPY,436.51,Call,439,2023-06-28,5,1.08,1.09,1.09,1.1,7371,3682,"+1,426",9.89%,2023-06-22
SPY,436.51,Call,435,2023-08-18,56,11.33,11.35,11.37,11.39,3709,42295,"+1,426",13.61%,2023-06-22
BITO,16.98,Put,17,2023-06-23,0,0.22,0.23,0.23,0.26,1055,1422,"+1,422",60.67%,2023-06-22
IWM,183.33,Call,185,2023-06-30,7,1.17,1.18,1.19,1.18,3685,18051,"+1,409",18.19%,2023-06-22
QQQ,366.17,Call,366,2023-06-23,0,1.57,1.6,1.63,1.59,31416,6440,"+1,405",19.51%,2023-06-22
SPY,436.51,Call,439,2023-06-26,3,0.56,0.57,0.57,0.56,9277,3758,"+1,391",9.12%,2023-06-22
QQQ,366.17,Call,370,2023-07-21,28,5.87,5.9,5.92,5.84,9263,35292,"+1,369",17.49%,2023-06-22
SPY,436.51,Put,432,2023-06-30,7,0.93,0.94,0.94,0.94,18825,14085,"+1,368",11.17%,2023-06-22
QQQ,366.17,Call,369,2023-06-23,0,0.45,0.46,0.46,0.44,10609,4962,"+1,365",18.88%,2023-06-22
SPY,436.51,Put,436,2023-06-23,0,0.86,0.87,0.87,0.87,89017,15093,"+1,353",12.42%,2023-06-22
KRE,40.16,Put,40,2023-06-30,7,0.61,0.85,1.09,0.81,9499,12561,"+1,351",40.37%,2023-06-22
SPY,436.51,Put,436,2023-06-28,5,1.82,1.83,1.84,1.83,7189,2381,"+1,348",10.62%,2023-06-22
SPY,436.51,Call,460,2023-12-29,189,10.09,10.17,10.24,10.15,832,4662,"+1,337",12.88%,2023-06-22
SPY,436.51,Put,431,2023-07-21,28,3.03,3.04,3.05,2.98,3381,2006,"+1,329",11.99%,2023-06-22
SLV,20.53,Call,21.5,2023-07-07,14,0.11,0.11,0.12,0.11,4072,3282,"+1,322",25.67%,2023-06-22
QQQ,366.17,Put,360,2023-08-18,56,7.26,7.28,7.3,7.27,2765,10044,"+1,321",19.35%,2023-06-22
SPY,436.51,Put,426,2023-07-21,28,2.06,2.07,2.07,2.06,1972,12680,"+1,320",13.04%,2023-06-22
SPY,436.51,Put,430,2023-06-27,4,0.21,0.22,0.22,0.22,2980,2459,"+1,315",11.14%,2023-06-22
VXX,26.15,Call,27,2023-06-30,7,0.5,0.53,0.57,0.52,1745,2457,"+1,306",59.35%,2023-06-22
QQQ,366.17,Put,330,2023-10-20,119,5.13,5.15,5.17,5.15,617,8010,"+1,276",24.10%,2023-06-22
SPY,436.51,Put,426,2023-06-28,5,0.11,0.11,0.12,0.11,1808,2377,"+1,274",12.37%,2023-06-22
