Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
AMC,4.01,Call,4,2023-06-30,6,0.17,0.18,0.19,0.17,3395,6354,"+5,124",79.76%,2023-06-23
ATVI,81.9,Put,75,2023-07-21,27,1.06,1.12,1.18,1.06,1025,28935,"+5,107",41.80%,2023-06-23
AAPL,186.68,Call,187.5,2023-06-30,6,1.4,1.41,1.42,1.4,42670,11527,"+5,083",17.96%,2023-06-23
AAPL,186.68,Put,185,2023-06-30,6,0.97,0.98,0.98,0.99,47756,16431,"+5,033",18.20%,2023-06-23
AKRO,50.83,Put,50,2023-08-18,55,2.65,2.7,2.75,2.75,1581,8288,"+5,007",42.46%,2023-06-23
TGT,131.83,Put,120,2023-07-21,27,0.62,0.64,0.65,0.62,1951,10492,"+5,002",30.11%,2023-06-23
SNAP,10.82,Call,10.5,2023-07-21,27,0.88,0.9,0.91,0.91,811,10583,"+4,960",62.10%,2023-06-23
AMZN,129.33,Call,135,2023-06-30,6,0.54,0.55,0.56,0.55,22795,9806,"+4,888",34.88%,2023-06-23
MMM,100.72,Call,102,2023-06-30,6,0.83,0.9,0.96,0.9,1120,6108,"+4,810",28.08%,2023-06-23
TSLA,256.6,Call,500,2024-06-21,363,12,12.23,12.45,12,1668,19315,"+4,763",54.51%,2023-06-23
AAPL,186.68,Call,190,2023-06-30,6,0.52,0.54,0.55,0.54,33763,32116,"+4,653",17.33%,2023-06-23
AMZN,129.33,Put,125,2023-08-18,55,4.7,4.78,4.85,4.8,3634,16852,"+4,649",36.16%,2023-06-23
CCJ,29.9,Put,28,2023-07-21,27,0.41,0.42,0.43,0.42,5175,11243,"+4,490",36.75%,2023-06-23
INTC,33,Call,36,2023-07-21,27,0.33,0.34,0.35,0.35,670,15223,"+4,465",35.94%,2023-06-23
MARA,12.71,Put,8.5,2023-07-21,27,0.16,0.18,0.2,0.2,916,5486,"+4,421",125.26%,2023-06-23
AMZN,129.33,Call,135,2023-09-15,83,6.3,6.35,6.4,6.42,4248,11041,"+4,410",32.98%,2023-06-23
TSLA,256.6,Put,215,2023-06-30,6,0.18,0.19,0.2,0.2,4739,10176,"+4,386",70.64%,2023-06-23
AMC,4.01,Put,4,2023-07-28,34,1.1,1.19,1.27,1.14,4570,5765,"+4,357",242.40%,2023-06-23
PBR,14.09,Put,14,2023-08-18,55,0.85,0.9,0.95,0.88,1072,5868,"+4,351",39.37%,2023-06-23
MARA,12.71,Call,12.5,2023-06-23,0,0.16,0.2,0.23,0.2,50493,12221,"+4,298",32.73%,2023-06-23
NVDA,422.09,Put,390,2023-06-30,6,0.6,0.63,0.66,0.68,7900,7444,"+4,286",41.48%,2023-06-23
TSLA,256.6,Put,220,2023-07-07,13,1.52,1.56,1.59,1.57,2531,19358,"+4,243",66.88%,2023-06-23
